Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2024-08-19,2024-2025,La Liga,Valladolid,Espanyol,Home,1,0,W,Stanko Jurić,N,,29,0,0,0,0,0,0,1,0,0,0,0
2024-08-25,2024-2025,La Liga,Valladolid,Real Madrid,Away,0,3,L,Stanko Jurić,Y,DM,70,0,0,0,0,0,0,1,0,0,0,1
2024-08-28,2024-2025,La Liga,Valladolid,Leganés,Home,0,0,D,Stanko Jurić,Y,CM,90,0,0,0,0,1,0,2,0,0,0,3
2024-08-31,2024-2025,La Liga,Valladolid,Barcelona,Away,0,7,L,Stanko Jurić,Y,DM,90,0,0,0,0,0,0,3,0,0,0,0
2024-09-15,2024-2025,La Liga,Valladolid,Celta Vigo,Away,1,3,L,Stanko Jurić,N,,27,0,0,0,0,1,0,1,0,0,0,0
2024-09-21,2024-2025,La Liga,Valladolid,Real Sociedad,Home,0,0,D,Stanko Jurić,Y,DM,90,0,0,0,0,1,0,1,0,0,0,2
2024-09-24,2024-2025,La Liga,Valladolid,Sevilla,Away,1,2,L,Stanko Jurić,Y,CM,85,0,0,0,0,1,0,3,0,0,0,1
2024-09-27,2024-2025,La Liga,Valladolid,Mallorca,Home,1,2,L,Stanko Jurić,N,,26,0,0,0,0,0,0,0,0,0,0,0
2024-10-05,2024-2025,La Liga,Valladolid,Rayo Vallecano,Home,1,2,L,Stanko Jurić,N,,45,0,0,0,0,0,0,0,2,0,0,1
2024-10-18,2024-2025,La Liga,Valladolid,Alavés,Away,3,2,W,Stanko Jurić,N,,2,0,0,0,0,0,0,1,0,0,0,0
2024-11-10,2024-2025,La Liga,Valladolid,Athletic Club,Home,1,1,D,Stanko Jurić,Y,CM,88,0,0,0,0,0,0,3,1,0,0,0
2024-11-22,2024-2025,La Liga,Valladolid,Getafe,Away,0,2,L,Stanko Jurić,Y,CM,65,0,0,1,0,0,0,2,0,0,0,1
2024-11-30,2024-2025,La Liga,Valladolid,Atlético Madrid,Home,0,5,L,Stanko Jurić,N,,79,0,0,3,1,0,0,0,0,0,0,1
2024-12-07,2024-2025,La Liga,Valladolid,Las Palmas,Away,1,2,L,Stanko Jurić,Y,DM,90,0,0,0,0,0,0,1,1,0,0,0
2024-12-13,2024-2025,La Liga,Valladolid,Valencia,Home,1,0,W,Stanko Jurić,Y,DM,90,0,0,0,0,0,0,1,0,0,0,3
2024-12-20,2024-2025,La Liga,Valladolid,Girona,Away,0,3,L,Stanko Jurić,Y,CM,74,0,0,0,0,0,0,0,0,0,0,0
2025-01-11,2024-2025,La Liga,Valladolid,Real Betis,Home,1,0,W,Stanko Jurić,Y,CM,90,0,0,0,0,0,0,3,0,0,0,2
2025-01-17,2024-2025,La Liga,Valladolid,Espanyol,Away,1,2,L,Stanko Jurić,Y,CM,81,0,0,0,0,1,0,6,3,0,0,1
2025-02-01,2024-2025,La Liga,Valladolid,Villarreal,Away,1,5,L,Stanko Jurić,Y,DM,70,0,0,1,0,0,0,3,0,0,0,0
2025-02-16,2024-2025,La Liga,Valladolid,Sevilla,Home,0,4,L,Stanko Jurić,N,,17,0,0,0,0,0,0,1,0,0,0,0
2025-02-23,2024-2025,La Liga,Valladolid,Athletic Club,Away,1,7,L,Stanko Jurić,Y,CM,55,0,0,0,0,2,1,3,0,0,0,1
2025-03-29,2024-2025,La Liga,Valladolid,Real Sociedad,Away,1,2,L,Stanko Jurić,Y,DM,61,0,0,2,0,0,0,0,1,0,0,1
2025-04-14,2024-2025,La Liga,Valladolid,Atlético Madrid,Away,2,4,L,Stanko Jurić,Y,DM,71,0,0,0,0,0,0,0,0,0,0,1
2025-04-20,2024-2025,La Liga,Valladolid,Osasuna,Home,2,3,L,Stanko Jurić,Y,DM,90,0,0,1,1,0,0,1,0,0,0,2
2025-04-24,2024-2025,La Liga,Valladolid,Real Betis,Away,1,5,L,Stanko Jurić,Y,DM,70,0,0,0,0,0,0,1,0,0,0,0
2025-05-03,2024-2025,La Liga,Valladolid,Barcelona,Home,1,2,L,Stanko Jurić,Y,CM,84,0,0,0,0,0,0,1,1,0,0,0
