Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2014-08-23,2014-2015,La Liga,Granada,Dep La Coruña,Home,2,1,W,Stole Dimitrievski,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2018-11-11,2018-2019,La Liga,Rayo Vallecano,Villarreal,Home,2,2,D,Stole Dimitrievski,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2018-11-24,2018-2019,La Liga,Rayo Vallecano,Valencia,Away,0,3,L,Stole Dimitrievski,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2018-11-30,2018-2019,La Liga,Rayo Vallecano,Eibar,Home,1,0,W,Stole Dimitrievski,Y,GK,90,0,0,0,0,0,0,0,1,0,0,0
2018-12-09,2018-2019,La Liga,Rayo Vallecano,Real Betis,Away,0,2,L,Stole Dimitrievski,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2018-12-15,2018-2019,La Liga,Rayo Vallecano,Real Madrid,Away,0,1,L,Stole Dimitrievski,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2018-12-23,2018-2019,La Liga,Rayo Vallecano,Levante,Home,2,1,W,Stole Dimitrievski,Y,GK,90,0,0,0,0,1,0,0,1,0,0,0
2019-01-05,2018-2019,La Liga,Rayo Vallecano,Valladolid,Away,1,0,W,Stole Dimitrievski,Y,GK,90,0,0,0,0,0,0,0,1,0,0,0
2019-01-11,2018-2019,La Liga,Rayo Vallecano,Celta Vigo,Home,4,2,W,Stole Dimitrievski,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2019-01-20,2018-2019,La Liga,Rayo Vallecano,Real Sociedad,Home,2,2,D,Stole Dimitrievski,Y,GK,90,0,0,0,0,1,0,0,0,0,0,0
2019-01-28,2018-2019,La Liga,Rayo Vallecano,Alavés,Away,1,0,W,Stole Dimitrievski,Y,GK,90,0,0,0,0,0,0,0,1,0,0,0
2019-02-04,2018-2019,La Liga,Rayo Vallecano,Leganés,Home,1,2,L,Stole Dimitrievski,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2019-02-09,2018-2019,La Liga,Rayo Vallecano,Espanyol,Away,1,2,L,Stole Dimitrievski,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2019-02-16,2018-2019,La Liga,Rayo Vallecano,Atlético Madrid,Home,0,1,L,Stole Dimitrievski,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2019-02-23,2018-2019,La Liga,Rayo Vallecano,Getafe,Away,1,2,L,Stole Dimitrievski,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2019-03-01,2018-2019,La Liga,Rayo Vallecano,Girona,Home,0,2,L,Stole Dimitrievski,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2019-03-09,2018-2019,La Liga,Rayo Vallecano,Barcelona,Away,1,3,L,Stole Dimitrievski,Y,GK,90,0,0,0,0,0,0,1,0,0,0,0
2019-03-17,2018-2019,La Liga,Rayo Vallecano,Villarreal,Away,1,3,L,Stole Dimitrievski,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2019-03-31,2018-2019,La Liga,Rayo Vallecano,Real Betis,Home,1,1,D,Stole Dimitrievski,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2019-04-03,2018-2019,La Liga,Rayo Vallecano,Eibar,Away,1,2,L,Stole Dimitrievski,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2019-05-12,2018-2019,La Liga,Rayo Vallecano,Valladolid,Home,1,2,L,Stole Dimitrievski,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2019-05-18,2018-2019,La Liga,Rayo Vallecano,Celta Vigo,Away,2,2,D,Stole Dimitrievski,Y,GK,90,0,0,0,0,1,0,0,0,0,0,0
2021-08-15,2021-2022,La Liga,Rayo Vallecano,Sevilla,Away,0,3,L,Stole Dimitrievski,N,GK,72,0,0,0,0,0,0,0,0,0,0,0
2021-08-22,2021-2022,La Liga,Rayo Vallecano,Real Sociedad,Away,0,1,L,Stole Dimitrievski,Y,GK,90,0,0,0,0,0,0,0,0,0,0,1
2021-08-29,2021-2022,La Liga,Rayo Vallecano,Granada,Home,4,0,W,Stole Dimitrievski,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2021-09-11,2021-2022,La Liga,Rayo Vallecano,Levante,Away,1,1,D,Stole Dimitrievski,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2021-09-18,2021-2022,La Liga,Rayo Vallecano,Getafe,Home,3,0,W,Stole Dimitrievski,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
