Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2012-09-23,2012-2013,Premier League,Liverpool,Manchester Utd,Home,1,2,L,Suso,N,"FW,MF",45,0,0,0,0,0,0,0,0,0,0,0
2012-09-29,2012-2013,Premier League,Liverpool,Norwich City,Away,5,2,W,Suso,Y,"FW,MF",58,0,0,0,0,0,0,0,0,0,0,0
2012-10-07,2012-2013,Premier League,Liverpool,Stoke City,Home,0,0,D,Suso,Y,"FW,MF",66,0,0,0,0,0,0,0,0,0,0,0
2012-10-20,2012-2013,Premier League,Liverpool,Reading,Home,1,0,W,Suso,Y,"FW,MF",73,0,0,0,0,0,0,0,0,0,0,0
2012-10-28,2012-2013,Premier League,Liverpool,Everton,Away,2,2,D,Suso,Y,"FW,MF",45,0,0,0,0,0,0,0,0,0,0,0
2012-11-04,2012-2013,Premier League,Liverpool,Newcastle,Home,1,1,D,Suso,Y,"FW,MF",65,0,0,0,0,0,0,0,0,0,0,0
2012-11-11,2012-2013,Premier League,Liverpool,Chelsea,Away,1,1,D,Suso,N,"FW,MF",31,0,0,0,0,0,0,0,0,0,0,0
2012-11-17,2012-2013,Premier League,Liverpool,Wigan Athletic,Home,3,0,W,Suso,Y,"FW,MF",35,0,0,0,0,0,0,0,0,0,0,0
2012-12-22,2012-2013,Premier League,Liverpool,Fulham,Home,4,0,W,Suso,Y,"FW,MF",70,0,0,0,0,0,0,0,0,0,0,0
2012-12-26,2012-2013,Premier League,Liverpool,Stoke City,Away,1,3,L,Suso,Y,"FW,MF",45,0,0,0,0,0,0,0,0,0,0,0
2012-12-30,2012-2013,Premier League,Liverpool,QPR,Away,3,0,W,Suso,N,"FW,MF",20,0,0,0,0,0,0,0,0,0,0,0
2013-01-02,2012-2013,Premier League,Liverpool,Sunderland,Home,3,0,W,Suso,N,"FW,MF",24,0,0,0,0,0,0,0,0,0,0,0
2013-04-27,2012-2013,Premier League,Liverpool,Newcastle,Away,6,0,W,Suso,N,"FW,MF",7,0,0,0,0,0,0,0,0,0,0,0
2013-05-19,2012-2013,Premier League,Liverpool,QPR,Home,1,0,W,Suso,N,"FW,MF",17,0,0,0,0,0,0,0,0,0,0,0
2013-08-19,2013-2014,La Liga,Almería,Villarreal,Home,2,3,L,Suso,Y,,90,0,0,,,0,0,,,,,
2013-08-23,2013-2014,La Liga,Almería,Getafe,Away,2,2,D,Suso,Y,,90,0,0,,,1,0,,,,,
2013-08-30,2013-2014,La Liga,Almería,Elche,Home,2,2,D,Suso,Y,,90,0,0,,,1,0,,,,,
2013-09-14,2013-2014,La Liga,Almería,Atlético Madrid,Away,2,4,L,Suso,Y,,90,0,0,,,1,0,,,,,
2013-09-21,2013-2014,La Liga,Almería,Levante,Home,2,2,D,Suso,Y,,86,1,0,,,0,0,,,,,
2013-09-24,2013-2014,La Liga,Almería,Málaga,Away,0,2,L,Suso,Y,,63,0,0,,,0,0,,,,,
2013-09-28,2013-2014,La Liga,Almería,Barcelona,Home,0,2,L,Suso,Y,,90,0,0,,,0,0,,,,,
2013-10-06,2013-2014,La Liga,Almería,Sevilla,Away,1,2,L,Suso,Y,,86,0,0,,,1,0,,,,,
2013-10-20,2013-2014,La Liga,Almería,Rayo Vallecano,Home,0,1,L,Suso,Y,,90,0,0,,,0,0,,,,,
2013-10-30,2013-2014,La Liga,Almería,Valencia,Away,2,1,W,Suso,Y,,90,0,0,,,1,0,,,,,
2013-11-02,2013-2014,La Liga,Almería,Valladolid,Home,1,0,W,Suso,Y,,72,0,0,,,0,0,,,,,
2013-11-23,2013-2014,La Liga,Almería,Real Madrid,Home,0,5,L,Suso,Y,,90,0,0,,,0,0,,,,,
2013-11-30,2013-2014,La Liga,Almería,Celta Vigo,Away,1,3,L,Suso,Y,,90,1,0,,,1,0,,,,,
2013-12-15,2013-2014,La Liga,Almería,Espanyol,Home,0,0,D,Suso,Y,,62,0,0,,,0,0,,,,,
2013-12-21,2013-2014,La Liga,Almería,Real Betis,Away,1,0,W,Suso,N,,9,0,0,,,0,0,,,,,
2014-01-04,2013-2014,La Liga,Almería,Granada,Home,3,0,W,Suso,N,,4,0,0,,,0,0,,,,,
2014-01-11,2013-2014,La Liga,Almería,Athletic Club,Away,1,6,L,Suso,N,,25,0,0,,,0,0,,,,,
2014-01-19,2013-2014,La Liga,Almería,Villarreal,Away,0,2,L,Suso,N,,45,0,0,,,0,0,,,,,
2014-01-26,2013-2014,La Liga,Almería,Getafe,Home,1,0,W,Suso,Y,,76,0,0,,,0,0,,,,,
2014-02-02,2013-2014,La Liga,Almería,Elche,Away,0,1,L,Suso,Y,,63,0,0,,,1,0,,,,,
2014-02-08,2013-2014,La Liga,Almería,Atlético Madrid,Home,2,0,W,Suso,Y,,88,0,0,,,0,0,,,,,
2014-02-15,2013-2014,La Liga,Almería,Levante,Away,0,1,L,Suso,Y,,90,0,0,,,1,0,,,,,
2014-02-22,2013-2014,La Liga,Almería,Málaga,Home,0,0,D,Suso,Y,,55,0,0,,,0,0,,,,,
2014-03-02,2013-2014,La Liga,Almería,Barcelona,Away,1,4,L,Suso,N,"FW,MF",13,0,0,0,0,0,0,0,0,0,0,0
2014-03-09,2013-2014,La Liga,Almería,Sevilla,Home,1,3,L,Suso,Y,"FW,MF",62,0,0,0,0,0,0,0,0,0,0,0
2014-03-15,2013-2014,La Liga,Almería,Rayo Vallecano,Away,1,3,L,Suso,N,"FW,MF",31,0,0,0,0,0,0,0,0,0,0,0
2014-03-24,2013-2014,La Liga,Almería,Real Sociedad,Home,4,3,W,Suso,Y,"FW,MF",90,0,0,0,0,0,0,0,0,0,0,0
2014-03-27,2013-2014,La Liga,Almería,Valencia,Home,2,2,D,Suso,Y,"FW,MF",90,0,0,0,0,0,0,0,0,0,0,0
2014-03-30,2013-2014,La Liga,Almería,Valladolid,Away,0,1,L,Suso,Y,"FW,MF",90,0,0,0,0,0,0,0,0,0,0,0
2014-04-04,2013-2014,La Liga,Almería,Osasuna,Home,1,2,L,Suso,Y,"FW,MF",90,0,0,0,0,1,0,0,0,0,0,0
2014-04-20,2013-2014,La Liga,Almería,Celta Vigo,Home,2,4,L,Suso,Y,"FW,MF",64,0,0,0,0,0,0,0,0,0,0,0
2014-04-27,2013-2014,La Liga,Almería,Espanyol,Away,2,1,W,Suso,N,"FW,MF",37,1,0,0,0,0,0,0,0,0,0,0
2014-05-04,2013-2014,La Liga,Almería,Real Betis,Home,3,2,W,Suso,Y,"FW,MF",51,0,0,0,0,0,1,0,0,0,0,0
2015-04-04,2014-2015,Serie A,Milan,Palermo,Away,2,1,W,Suso,N,,14,0,0,0,0,0,0,,,,,
2015-04-12,2014-2015,Serie A,Milan,Sampdoria,Home,1,1,D,Suso,N,,29,0,0,0,0,0,0,,,,,
2015-04-19,2014-2015,Serie A,Milan,Inter,Away,0,0,D,Suso,Y,,72,0,0,0,0,0,0,,,,,
2015-04-25,2014-2015,Serie A,Milan,Udinese,Away,1,2,L,Suso,Y,,63,0,0,0,0,0,0,,,,,
2015-05-17,2014-2015,Serie A,Milan,Sassuolo,Away,2,3,L,Suso,N,,44,0,1,0,0,0,1,,,,,
2015-08-29,2015-2016,Serie A,Milan,Empoli,Home,2,1,W,Suso,Y,AM,54,0,0,2,0,0,0,0,0,5,1,0
2016-01-05,2015-2016,Serie A,Genoa,Sampdoria,Home,2,3,L,Suso,N,FW,45,0,0,3,2,0,0,0,0,8,0,1
2016-01-10,2015-2016,Serie A,Genoa,Atalanta,Away,2,0,W,Suso,Y,FW,45,0,0,0,0,1,0,1,0,1,0,0
2016-01-17,2015-2016,Serie A,Genoa,Palermo,Home,4,0,W,Suso,Y,FW,59,1,0,3,2,0,0,0,0,2,1,1
2016-01-24,2015-2016,Serie A,Genoa,Hellas Verona,Away,1,1,D,Suso,Y,FW,58,0,0,2,0,0,0,0,1,2,0,0
2016-01-31,2015-2016,Serie A,Genoa,Fiorentina,Home,0,0,D,Suso,Y,FW,63,0,0,2,0,0,0,0,0,11,0,0
2016-02-03,2015-2016,Serie A,Genoa,Juventus,Away,0,1,L,Suso,N,FW,37,0,0,0,0,0,0,1,0,0,0,0
2016-02-06,2015-2016,Serie A,Genoa,Lazio,Home,0,0,D,Suso,Y,FW,78,0,0,0,0,1,0,1,0,5,0,0
2016-02-14,2015-2016,Serie A,Genoa,Milan,Away,1,2,L,Suso,Y,FW,45,0,0,1,0,0,0,1,2,2,2,0
2016-02-21,2015-2016,Serie A,Genoa,Udinese,Home,2,1,W,Suso,Y,FW,66,0,0,3,2,1,0,2,0,7,2,0
2016-02-28,2015-2016,Serie A,Genoa,Chievo,Away,0,1,L,Suso,Y,FW,56,0,0,1,0,0,0,1,0,2,0,1
2016-03-06,2015-2016,Serie A,Genoa,Empoli,Home,1,0,W,Suso,Y,FW,45,0,0,1,0,0,0,1,0,8,0,0
2016-03-13,2015-2016,Serie A,Genoa,Torino,Home,3,2,W,Suso,N,FW,34,0,1,3,2,0,0,0,0,1,1,0
2016-04-03,2015-2016,Serie A,Genoa,Frosinone,Home,4,0,W,Suso,Y,FW,88,3,0,5,3,0,0,1,0,12,0,1
2016-04-09,2015-2016,Serie A,Genoa,Sassuolo,Away,1,0,W,Suso,Y,FW,90,0,0,2,0,0,0,0,0,5,1,0
2016-04-20,2015-2016,Serie A,Genoa,Inter,Home,1,0,W,Suso,Y,FW,71,0,0,1,0,0,0,0,0,7,0,1
2016-04-24,2015-2016,Serie A,Genoa,Bologna,Away,0,2,L,Suso,N,FW,45,0,0,1,0,0,0,2,0,6,1,0
2016-05-02,2015-2016,Serie A,Genoa,Roma,Home,2,3,L,Suso,Y,FW,81,0,0,5,2,0,0,0,1,8,0,0
2016-05-08,2015-2016,Serie A,Genoa,Sampdoria,Away,3,0,W,Suso,Y,FW,86,2,0,2,2,1,0,1,0,11,1,0
2016-05-15,2015-2016,Serie A,Genoa,Atalanta,Home,1,2,L,Suso,Y,FW,75,0,0,1,0,0,0,2,0,11,0,0
2016-08-21,2016-2017,Serie A,Milan,Torino,Home,3,2,W,Suso,Y,FW,90,0,0,2,0,0,0,0,1,6,0,0
2016-08-27,2016-2017,Serie A,Milan,Napoli,Away,2,4,L,Suso,Y,FW,85,1,1,4,1,1,0,2,1,6,2,0
2016-09-11,2016-2017,Serie A,Milan,Udinese,Home,0,1,L,Suso,Y,AM,90,0,0,4,0,0,0,0,0,17,2,0
2016-09-16,2016-2017,Serie A,Milan,Sampdoria,Away,1,0,W,Suso,Y,FW,89,0,1,1,1,0,0,0,0,4,1,0
2016-09-20,2016-2017,Serie A,Milan,Lazio,Home,2,0,W,Suso,Y,FW,67,0,0,0,0,0,0,6,0,2,0,0
2016-09-25,2016-2017,Serie A,Milan,Fiorentina,Away,0,0,D,Suso,Y,FW,90,0,0,1,0,0,0,0,0,4,2,0
2016-10-02,2016-2017,Serie A,Milan,Sassuolo,Home,4,3,W,Suso,Y,FW,90,0,0,2,1,0,0,1,0,6,0,0
2016-10-16,2016-2017,Serie A,Milan,Chievo,Away,3,1,W,Suso,Y,FW,80,0,0,4,0,0,0,1,0,2,1,0
2016-10-22,2016-2017,Serie A,Milan,Juventus,Home,1,0,W,Suso,Y,FW,90,0,1,2,1,0,0,3,0,4,3,1
2016-10-25,2016-2017,Serie A,Milan,Genoa,Away,0,3,L,Suso,N,,21,0,0,2,1,0,0,0,0,2,1,0
