Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2024-08-16,2024-25,La Liga,Alavés,Celta Vigo,Away,1,2,L,Tomás Conechny,Y,AM,67,0,0,0,0,1,0,1,0,4,1,0
2024-08-25,2024-25,La Liga,Alavés,Real Betis,Home,0,0,D,Tomás Conechny,Y,LM,60,0,0,2,0,0,0,3,0,2,0,1
2024-09-01,2024-25,La Liga,Alavés,Las Palmas,Home,2,0,W,Tomás Conechny,Y,LM,63,0,0,3,2,1,0,2,1,3,0,1
2024-09-14,2024-25,La Liga,Alavés,Espanyol,Away,2,3,L,Tomás Conechny,Y,FW,77,1,0,3,2,0,0,0,0,5,0,0
2024-09-24,2024-25,La Liga,Alavés,Real Madrid,Away,2,3,L,Tomás Conechny,Y,LM,90,0,0,4,1,0,0,1,0,4,0,1
2024-10-06,2024-25,La Liga,Alavés,Barcelona,Home,0,3,L,Tomás Conechny,N,-,34,0,0,1,1,0,0,3,2,2,0,0
2024-10-18,2024-25,La Liga,Alavés,Valladolid,Home,2,3,L,Tomás Conechny,Y,AM,60,0,0,1,1,0,0,1,1,5,0,1
2024-11-09,2024-25,La Liga,Alavés,Villarreal,Away,0,3,L,Tomás Conechny,N,-,14,0,0,0,0,0,0,0,0,1,0,0
2024-11-23,2024-25,La Liga,Alavés,Atlético Madrid,Away,1,2,L,Tomás Conechny,N,-,6,0,0,0,0,1,0,2,0,0,0,0
2024-12-22,2024-25,La Liga,Alavés,Valencia,Away,2,2,D,Tomás Conechny,N,-,10,0,0,1,0,0,0,0,0,0,0,0
2025-01-11,2024-25,La Liga,Alavés,Girona,Home,0,1,L,Tomás Conechny,N,-,61,0,0,3,1,0,0,3,0,3,1,0
2025-01-18,2024-25,La Liga,Alavés,Real Betis,Away,3,1,W,Tomás Conechny,Y,AM,76,0,0,1,0,1,0,5,0,0,1,0
2025-01-27,2024-25,La Liga,Alavés,Celta Vigo,Home,1,1,D,Tomás Conechny,Y,AM,70,0,0,0,0,0,0,1,0,0,3,1
2025-02-02,2024-25,La Liga,Alavés,Barcelona,Away,0,1,L,Tomás Conechny,Y,AM,13,0,0,0,0,0,0,1,0,0,0,0
2025-03-29,2024-25,La Liga,Alavés,Rayo Vallecano,Home,0,2,L,Tomás Conechny,N,-,13,0,0,0,0,0,0,1,0,1,0,0
2025-04-05,2024-25,La Liga,Alavés,Girona,Away,1,0,W,Tomás Conechny,N,-,10,0,0,0,0,1,0,0,0,0,0,0
2025-04-20,2024-25,La Liga,Alavés,Sevilla,Away,1,1,D,Tomás Conechny,N,-,22,0,0,1,1,0,0,0,0,0,1,0
2025-04-23,2024-25,La Liga,Alavés,Real Sociedad,Home,1,0,W,Tomás Conechny,N,-,45,0,0,1,0,1,0,1,0,0,1,1
2025-05-03,2024-25,La Liga,Alavés,Atlético Madrid,Home,0,0,D,Tomás Conechny,N,-,1,0,0,0,0,0,0,0,0,0,0,0
2025-05-14,2024-25,La Liga,Alavés,Valencia,Home,1,0,W,Tomás Conechny,N,-,1,0,0,0,0,0,0,0,0,1,0,0
2025-05-18,2024-25,La Liga,Alavés,Valladolid,Away,1,0,W,Tomás Conechny,N,-,26,0,0,0,0,1,0,2,0,0,1,0
2025-05-24,2024-25,La Liga,Alavés,Osasuna,Home,1,1,D,Tomás Conechny,N,-,28,0,0,1,1,1,0,1,1,0,2,0
