Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2017-01-09,2016-2017,La Liga,Valencia,Osasuna,Away,3,3,D,Toni Lato,N,,45,0,0,0,0,0,0,0,0,1,1,1
2017-02-28,2016-2017,La Liga,Valencia,Leganés,Home,1,0,W,Toni Lato,N,,11,0,0,0,0,0,0,0,0,0,0,1
2017-04-06,2016-2017,La Liga,Valencia,Celta Vigo,Home,3,2,W,Toni Lato,N,,26,0,1,0,0,0,0,1,0,1,2,0
2017-04-09,2016-2017,La Liga,Valencia,Granada,Away,3,1,W,Toni Lato,Y,LB,90,0,0,0,0,0,0,2,0,1,4,2
2017-04-16,2016-2017,La Liga,Valencia,Sevilla,Home,0,0,D,Toni Lato,Y,LB,90,0,0,0,0,1,0,1,0,4,0,3
2017-04-22,2016-2017,La Liga,Valencia,Málaga,Away,0,2,L,Toni Lato,Y,LB,90,0,0,0,0,0,0,1,0,1,1,2
2017-04-26,2016-2017,La Liga,Valencia,Real Sociedad,Home,2,3,L,Toni Lato,N,,46,0,0,0,0,0,0,1,0,0,1,0
2017-04-29,2016-2017,La Liga,Valencia,Real Madrid,Away,1,2,L,Toni Lato,Y,LB,85,0,0,0,0,1,0,1,0,1,3,2
2017-08-27,2017-2018,La Liga,Valencia,Real Madrid,Away,2,2,D 2–2,Toni Lato,Y,LB,82,0,1,0,0,0,0,1,0,1,0,3
2017-09-19,2017-2018,La Liga,Valencia,Málaga,Home,5,0,W 5–0,Toni Lato,Y,LB,90,0,0,0,0,0,0,1,0,1,2,0
2017-09-24,2017-2018,La Liga,Valencia,Real Sociedad,Away,3,2,W 3–2,Toni Lato,N,,16,0,0,0,0,0,0,0,0,0,0,0
2017-10-01,2017-2018,La Liga,Valencia,Athletic Club,Home,3,2,W 3–2,Toni Lato,N,,8,0,0,0,0,0,0,0,0,0,0,0
2017-10-21,2017-2018,La Liga,Valencia,Sevilla,Home,4,0,W 4–0,Toni Lato,N,,1,0,0,0,0,0,0,0,0,0,0,0
2017-10-28,2017-2018,La Liga,Valencia,Alavés,Away,2,1,W 2–1,Toni Lato,N,,14,0,0,0,0,0,0,1,0,0,1,0
2017-11-04,2017-2018,La Liga,Valencia,Leganés,Home,3,0,W 3–0,Toni Lato,N,,5,0,0,0,0,0,0,0,0,0,0,0
2017-11-19,2017-2018,La Liga,Valencia,Espanyol,Away,2,0,W 2–0,Toni Lato,Y,LB,59,0,0,0,0,1,0,2,0,2,1,2
2017-12-16,2017-2018,La Liga,Valencia,Eibar,Away,1,2,L 1–2,Toni Lato,N,,45,0,0,0,0,1,0,2,0,0,2,1
2017-12-23,2017-2018,La Liga,Valencia,Villarreal,Home,0,1,L 0–1,Toni Lato,Y,LB,68,0,0,0,0,0,0,0,1,2,1,2
2018-01-20,2017-2018,La Liga,Valencia,Las Palmas,Away,1,2,L 1–2,Toni Lato,Y,LB,90,0,0,0,0,1,0,1,0,1,1,1
2018-01-27,2017-2018,La Liga,Valencia,Real Madrid,Home,1,4,L 1–4,Toni Lato,Y,LB,76,0,0,0,0,0,0,1,0,1,3,0
2018-02-04,2017-2018,La Liga,Valencia,Atlético Madrid,Away,0,1,L 0–1,Toni Lato,Y,LM,61,0,0,1,0,0,0,0,0,0,3,0
2018-03-10,2017-2018,La Liga,Valencia,Sevilla,Away,2,0,W 2–0,Toni Lato,N,,7,0,0,0,0,0,0,0,0,0,0,0
2018-04-21,2017-2018,La Liga,Valencia,Celta Vigo,Away,1,1,D 1–1,Toni Lato,Y,LB,90,0,0,0,0,0,0,2,0,1,3,1
2018-05-12,2017-2018,La Liga,Valencia,Girona,Away,1,0,W 1–0,Toni Lato,Y,LB,85,0,0,0,0,1,0,1,0,1,0,1
2018-09-29,2018-2019,La Liga,Valencia,Real Sociedad,Away,1,0,W,Toni Lato,Y,LB,90,0,0,0,0,1,0,3,0,2,1,2
2019-01-05,2018-2019,La Liga,Valencia,Alavés,Away,1,2,L,Toni Lato,Y,LB,68,0,0,2,0,0,0,0,0,2,1,2
2019-02-02,2018-2019,La Liga,Valencia,Barcelona,Away,2,2,D,Toni Lato,Y,LB,90,0,0,0,0,0,0,1,0,0,2,2
2019-04-21,2018-2019,La Liga,Valencia,Real Betis,Away,2,1,W,Toni Lato,N,,22,0,0,0,0,0,0,0,0,0,0,0
2020-03-01,2019-2020,La Liga,Osasuna,Sevilla,Away,2,3,L 2–3,Toni Lato,Y,LM,78,0,0,1,1,0,0,3,0,2,2,1
