Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2015-11-21,2015-2016,Serie A,Roma,Bologna,Away,2,2,D,Umar Sadiq,N,N/A,3,0,0,0,0,0,0,1,1,0,0,0
2015-11-29,2015-2016,Serie A,Roma,Atalanta,Home,0,2,L,Umar Sadiq,N,N/A,29,0,0,0,0,0,0,2,2,1,0,0
2015-12-20,2015-2016,Serie A,Roma,Genoa,Home,2,0,W,Umar Sadiq,N,N/A,9,1,0,1,1,0,0,0,0,1,1,0
2016-01-06,2015-2016,Serie A,Roma,Chievo,Away,3,3,D,Umar Sadiq,Y,AM,79,1,0,2,1,0,0,2,4,0,0,1
2016-01-09,2015-2016,Serie A,Roma,Milan,Home,1,1,D,Umar Sadiq,Y,FW,69,0,0,1,1,0,0,2,2,1,0,0
2016-01-24,2015-2016,Serie A,Roma,Juventus,Away,0,1,L,Umar Sadiq,N,N/A,1,0,0,0,0,0,0,1,0,0,0,0
2016-10-16,2016-2017,Serie A,Bologna,Lazio,Away,1,1,D,Umar Sadiq,N,N/A,37,0,0,1,1,1,0,3,1,1,0,0
2016-10-23,2016-2017,Serie A,Bologna,Sassuolo,Home,1,1,D,Umar Sadiq,N,N/A,11,0,0,0,0,0,0,1,0,0,0,1
2016-10-26,2016-2017,Serie A,Bologna,Chievo,Away,1,1,D,Umar Sadiq,N,N/A,45,0,1,1,0,1,0,3,2,0,0,2
2016-10-29,2016-2017,Serie A,Bologna,Fiorentina,Home,0,1,L,Umar Sadiq,N,N/A,33,0,0,0,0,0,0,0,1,2,0,0
2016-11-06,2016-2017,Serie A,Bologna,Roma,Away,0,3,L,Umar Sadiq,Y,FW,49,0,0,2,2,0,0,2,1,0,0,1
2017-02-12,2016-2017,Serie A,Bologna,Sampdoria,Away,1,3,L,Umar Sadiq,N,N/A,46,0,0,1,1,0,0,2,0,0,0,0
2017-04-15,2016-2017,Serie A,Bologna,Palermo,Away,0,0,D,Umar Sadiq,N,N/A,13,0,0,0,0,0,0,0,0,0,0,0
2017-10-15,2017-2018,Serie A,Torino,Crotone,Away,2,2,D,Umar Sadiq,Y,FW,90,0,0,1,1,0,0,0,3,0,0,1
2017-10-22,2017-2018,Serie A,Torino,Roma,Home,0,1,L,Umar Sadiq,Y,FW,90,0,0,2,0,0,0,6,1,6,0,0
