Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2017-04-30,2016-2017,Ligue 1,Dijon,Bordeaux,Home,0,0,D,Valentin Rosier,Y,RB,90,0,0,0,0,0,0,3,0,1,3,0
2017-05-14,2016-2017,Ligue 1,Dijon,Nancy,Home,2,0,W,Valentin Rosier,Y,RB,90,0,0,1,0,0,0,2,0,1,2,0
2017-05-20,2016-2017,Ligue 1,Dijon,Toulouse,Away,0,0,D,Valentin Rosier,Y,RB,90,0,0,0,0,0,0,1,0,0,3,0
2017-08-06,2017-2018,Ligue 1,Dijon,Marseille,Away,0,3,L,Valentin Rosier,Y,RB,90,0,0,0,0,0,0,3,0,3,2,10
2017-08-13,2017-2018,Ligue 1,Dijon,Monaco,Home,1,4,L,Valentin Rosier,Y,RB,55,0,0,0,0,0,0,1,0,3,3,1
2017-08-19,2017-2018,Ligue 1,Dijon,Rennes,Away,2,2,D,Valentin Rosier,N,,5,0,0,0,0,0,0,0,0,0,1,0
2017-08-26,2017-2018,Ligue 1,Dijon,Montpellier,Home,2,1,W,Valentin Rosier,N,,9,0,0,0,0,0,0,1,0,0,0,1
2017-09-16,2017-2018,Ligue 1,Dijon,Saint-Étienne,Home,0,1,L,Valentin Rosier,Y,LB,80,0,0,1,0,0,0,1,0,1,2,0
2017-09-23,2017-2018,Ligue 1,Dijon,Lyon,Away,3,3,D,Valentin Rosier,Y,LB,90,0,0,0,0,1,0,2,0,2,3,2
2017-09-30,2017-2018,Ligue 1,Dijon,Strasbourg,Home,1,1,D,Valentin Rosier,Y,LB,90,0,1,1,1,0,0,1,0,7,1,6
2017-10-14,2017-2018,Ligue 1,Dijon,PSG,Home,1,2,L,Valentin Rosier,Y,RB,90,0,0,0,0,1,0,4,0,5,0,1
2017-10-21,2017-2018,Ligue 1,Dijon,Metz,Away,2,1,W,Valentin Rosier,Y,RB,86,0,0,0,0,0,0,1,1,1,2,2
2017-10-28,2017-2018,Ligue 1,Dijon,Nantes,Home,1,0,W,Valentin Rosier,Y,RB,90,0,0,0,0,0,0,3,0,2,2,4
2017-11-05,2017-2018,Ligue 1,Dijon,Nice,Away,0,1,L,Valentin Rosier,Y,RB,90,0,0,0,0,0,0,2,0,4,1,3
2017-11-18,2017-2018,Ligue 1,Dijon,Troyes,Home,3,1,W,Valentin Rosier,Y,LB,90,0,0,1,0,0,0,1,0,1,2,4
2017-11-25,2017-2018,Ligue 1,Dijon,Toulouse,Home,3,1,W,Valentin Rosier,N,,16,0,0,0,0,1,0,1,0,1,1,1
