Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2009-01-18,2008-2009,La Liga,Valencia,Athletic Club,Away,2,3,L,Vicente Guaita,N,GK,50,0,0,0,0,0,0,0,0,0,0,0
2009-01-25,2008-2009,La Liga,Valencia,Mallorca,Away,1,3,L,Vicente Guaita,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2010-11-08,2010-2011,La Liga,Valencia,Sevilla,Away,0,2,L,Vicente Guaita,N,GK,46,0,0,0,0,0,0,0,0,0,0,0
2010-11-28,2010-2011,La Liga,Valencia,Almería,Home,2,1,W,Vicente Guaita,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2010-12-04,2010-2011,La Liga,Valencia,Real Madrid,Away,0,2,L,Vicente Guaita,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2010-12-18,2010-2011,La Liga,Valencia,Real Sociedad,Away,2,1,W,Vicente Guaita,N,GK,40,0,0,0,0,0,0,0,0,0,0,0
2011-01-02,2010-2011,La Liga,Valencia,Espanyol,Home,2,1,W,Vicente Guaita,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2011-01-09,2010-2011,La Liga,Valencia,Levante,Away,1,0,W,Vicente Guaita,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2011-01-16,2010-2011,La Liga,Valencia,Deportivo La Coruña,Home,2,0,W,Vicente Guaita,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2011-01-22,2010-2011,La Liga,Valencia,Málaga,Home,4,3,W,Vicente Guaita,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2011-01-31,2010-2011,La Liga,Valencia,Racing Santander,Away,1,1,D,Vicente Guaita,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2011-02-06,2010-2011,La Liga,Valencia,Hércules,Home,2,0,W,Vicente Guaita,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2011-02-12,2010-2011,La Liga,Valencia,Atlético Madrid,Away,2,1,W,Vicente Guaita,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2011-02-19,2010-2011,La Liga,Valencia,Sporting Gijón,Home,0,0,D,Vicente Guaita,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2011-02-27,2010-2011,La Liga,Valencia,Athletic Club,Away,2,1,W,Vicente Guaita,Y,GK,90,0,0,0,0,1,0,0,0,0,0,0
2011-03-02,2010-2011,La Liga,Valencia,Barcelona,Home,0,1,L,Vicente Guaita,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2011-03-05,2010-2011,La Liga,Valencia,Mallorca,Away,2,1,W,Vicente Guaita,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
