Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2023-02-05,2022-2023,La Liga,Girona,Valencia,Home,1,0,W,Viktor Tsyhankov,N,,13,0,0,0,0,0,0,1,0,0,0,1
2023-02-10,2022-2023,La Liga,Girona,Cádiz,Away,0,2,L,Viktor Tsyhankov,N,,28,0,0,0,0,0,0,0,0,1,0,1
2023-02-17,2022-2023,La Liga,Girona,Almería,Home,6,2,W,Viktor Tsyhankov,Y,RM,64,1,1,1,1,0,0,1,1,1,0,0
2023-02-26,2022-2023,La Liga,Girona,Athletic Club,Away,3,2,W,Viktor Tsyhankov,Y,RW,79,0,1,0,0,0,0,1,0,0,0,2
2023-03-04,2022-2023,La Liga,Girona,Getafe,Away,2,3,L,Viktor Tsyhankov,Y,RW,90,0,1,1,1,0,0,1,0,1,1,0
2023-03-13,2022-2023,La Liga,Girona,Atlético Madrid,Home,0,1,L,Viktor Tsyhankov,Y,RW,86,0,0,1,1,0,0,0,0,1,0,2
2023-03-18,2022-2023,La Liga,Girona,Rayo Vallecano,Away,2,2,D,Viktor Tsyhankov,Y,RW,90,2,0,2,2,0,0,1,0,5,0,1
2023-04-01,2022-2023,La Liga,Girona,Espanyol,Home,2,1,W,Viktor Tsyhankov,Y,RW,90,0,0,2,0,0,0,1,0,6,0,0
2023-04-10,2022-2023,La Liga,Girona,Barcelona,Away,0,0,D,Viktor Tsyhankov,Y,RW,70,0,0,1,0,0,0,0,0,1,0,0
2023-04-16,2022-2023,La Liga,Girona,Elche,Home,2,0,W,Viktor Tsyhankov,Y,RW,90,0,0,1,1,0,0,0,0,3,3,0
2023-04-22,2022-2023,La Liga,Girona,Valladolid,Away,0,1,L,Viktor Tsyhankov,Y,RW,90,0,0,0,0,0,0,0,0,8,0,0
2023-04-25,2022-2023,La Liga,Girona,Real Madrid,Home,4,2,W,Viktor Tsyhankov,Y,AM,71,0,0,3,0,0,0,0,0,0,0,0
2023-05-01,2022-2023,La Liga,Girona,Sevilla,Away,2,0,W,Viktor Tsyhankov,Y,RM,89,0,1,1,0,0,0,0,0,1,0,0
2023-05-04,2022-2023,La Liga,Girona,Mallorca,Home,2,1,W,Viktor Tsyhankov,Y,RW,89,0,0,0,0,0,0,0,1,7,1,0
2023-05-13,2022-2023,La Liga,Girona,Real Sociedad,Away,2,2,D,Viktor Tsyhankov,Y,AM,90,0,1,1,1,0,0,0,0,4,0,0
2023-05-20,2022-2023,La Liga,Girona,Villarreal,Home,1,2,L,Viktor Tsyhankov,Y,AM,90,0,0,1,0,0,0,0,0,0,2,0
2023-05-23,2022-2023,La Liga,Girona,Celta Vigo,Away,1,1,D,Viktor Tsyhankov,Y,AM,90,0,0,1,0,0,0,1,0,4,0,0
2023-05-28,2022-2023,La Liga,Girona,Real Betis,Home,1,2,L,Viktor Tsyhankov,Y,RW,90,0,0,0,0,0,0,0,0,8,1,0
2023-06-04,2022-2023,La Liga,Girona,Osasuna,Away,1,2,L,Viktor Tsyhankov,Y,RW,90,0,1,3,2,0,0,1,0,4,0,0
