Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2024-08-19,2024-2025,La Liga,Valladolid,Espanyol,Home,1,0,W,Víctor Meseguer,N,N/A,22,0,0,0,0,0,0,0,0,0,0,0
2024-08-25,2024-2025,La Liga,Valladolid,Real Madrid,Away,0,3,L,Víctor Meseguer,Y,AM,58,0,0,1,0,0,0,1,0,0,2,0
2024-08-28,2024-2025,La Liga,Valladolid,Leganés,Home,0,0,D,Víctor Meseguer,N,N/A,29,0,0,1,0,0,0,1,1,0,0,1
2024-08-31,2024-2025,La Liga,Valladolid,Barcelona,Away,0,7,L,Víctor Meseguer,N,N/A,3,0,0,0,0,0,0,0,0,0,0,0
2024-09-15,2024-2025,La Liga,Valladolid,Celta Vigo,Away,1,3,L,Víctor Meseguer,N,N/A,45,0,0,1,0,0,0,0,1,0,3,0
2024-09-21,2024-2025,La Liga,Valladolid,Real Sociedad,Home,0,0,D,Víctor Meseguer,Y,DM,90,0,0,1,0,0,0,1,0,0,1,0
2024-09-24,2024-2025,La Liga,Valladolid,Sevilla,Away,1,2,L,Víctor Meseguer,N,N/A,18,0,0,1,0,0,0,0,0,0,0,0
2024-10-18,2024-2025,La Liga,Valladolid,Alavés,Away,3,2,W,Víctor Meseguer,N,N/A,17,0,0,0,0,0,0,1,1,0,0,1
2024-10-26,2024-2025,La Liga,Valladolid,Villarreal,Home,1,2,L,Víctor Meseguer,N,N/A,20,0,0,0,0,0,0,0,0,0,1,1
2024-11-02,2024-2025,La Liga,Valladolid,Osasuna,Away,0,1,L,Víctor Meseguer,N,N/A,32,0,0,0,0,0,0,1,1,1,0,0
2024-11-10,2024-2025,La Liga,Valladolid,Athletic Club,Home,1,1,D,Víctor Meseguer,N,N/A,2,0,0,0,0,0,0,0,0,0,0,0
2024-11-30,2024-2025,La Liga,Valladolid,Atlético Madrid,Home,0,5,L,Víctor Meseguer,N,N/A,45,0,0,0,0,0,0,1,0,2,0,0
2024-12-07,2024-2025,La Liga,Valladolid,Las Palmas,Away,1,2,L,Víctor Meseguer,N,N/A,23,0,0,0,0,1,0,2,0,0,0,0
2024-12-13,2024-2025,La Liga,Valladolid,Valencia,Home,1,0,W,Víctor Meseguer,N,N/A,14,0,0,1,0,0,0,0,0,0,0,0
