Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2023-08-26,2023-2024,Serie A,Frosinone,Atalanta,Home,2,1,W,Walid Cheddira,Y,FW,81,0,0,0,0,0,0,1,0,0,0,0
2023-09-02,2023-2024,Serie A,Frosinone,Udinese,Away,0,0,D,Walid Cheddira,Y,FW,79,0,0,0,2,0,0,0,2,1,0,0
2023-09-17,2023-2024,Serie A,Frosinone,Sassuolo,Home,4,2,W,Walid Cheddira,Y,FW,90,1,1,3,2,0,0,2,2,4,0,0
2023-09-22,2023-2024,Serie A,Frosinone,Salernitana,Away,1,1,D,Walid Cheddira,Y,FW,76,0,0,1,1,0,0,1,1,0,1,0
2023-09-28,2023-2024,Serie A,Frosinone,Fiorentina,Home,1,1,D,Walid Cheddira,Y,FW,81,0,0,1,0,0,0,1,1,0,1,0
2023-10-01,2023-2024,Serie A,Frosinone,Roma,Away,0,2,L,Walid Cheddira,N,FW,29,0,0,0,0,0,0,0,2,0,0,0
2023-10-08,2023-2024,Serie A,Frosinone,Hellas Verona,Home,2,1,W,Walid Cheddira,Y,FW,90,0,0,3,0,0,0,0,1,0,0,0
2023-10-22,2023-2024,Serie A,Frosinone,Bologna,Away,1,2,L,Walid Cheddira,Y,FW,55,0,0,1,1,0,0,0,0,0,0,0
2023-10-29,2023-2024,Serie A,Frosinone,Cagliari,Away,3,4,L,Walid Cheddira,N,FW,35,0,0,0,0,0,0,1,0,1,0,0
2023-11-12,2023-2024,Serie A,Frosinone,Inter,Away,0,2,L,Walid Cheddira,N,FW,36,0,0,3,0,0,0,0,0,0,1,0
2023-11-26,2023-2024,Serie A,Frosinone,Genoa,Home,2,1,W,Walid Cheddira,Y,FW,79,0,0,0,0,0,0,0,2,1,0,0
2023-12-02,2023-2024,Serie A,Frosinone,Milan,Away,1,3,L,Walid Cheddira,N,FW,5,0,0,0,0,0,0,0,0,0,0,0
2023-12-10,2023-2024,Serie A,Frosinone,Torino,Home,0,0,D,Walid Cheddira,N,FW,8,0,0,1,0,0,0,1,0,0,0,0
2023-12-16,2023-2024,Serie A,Frosinone,Lecce,Away,1,2,L,Walid Cheddira,N,FW,1,0,0,1,1,0,0,0,0,0,0,0
