Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2018-08-17,2018-19,La Liga,Real Betis,Levante,Home,0,3,L,William Carvalho,Y,DM,65,0,0,0,0,0,0,0,0,0,2,2
2018-08-25,2018-19,La Liga,Real Betis,Alavés,Away,0,0,D,William Carvalho,Y,DM,81,0,0,0,0,0,0,1,2,0,0,0
2018-09-02,2018-19,La Liga,Real Betis,Sevilla,Home,1,0,W,William Carvalho,Y,DM,74,0,0,0,0,1,0,3,1,0,1,0
2018-09-30,2018-19,La Liga,Real Betis,Leganés,Home,1,0,W,William Carvalho,N,DM,10,0,0,0,0,0,0,0,0,0,0,0
2018-10-07,2018-19,La Liga,Real Betis,Atlético Madrid,Away,0,1,L,William Carvalho,N,DM,74,0,0,0,0,0,0,2,0,0,0,1
2018-10-21,2018-19,La Liga,Real Betis,Valladolid,Home,0,1,L,William Carvalho,Y,DM,90,0,0,1,0,0,0,2,0,1,1,0
2018-10-28,2018-19,La Liga,Real Betis,Getafe,Away,0,2,L,William Carvalho,Y,CM,90,0,0,1,1,0,0,0,2,0,1,2
2018-11-04,2018-19,La Liga,Real Betis,Celta Vigo,Home,3,3,D,William Carvalho,Y,DM,90,0,0,0,0,0,0,2,0,0,1,0
2018-11-11,2018-19,La Liga,Real Betis,Barcelona,Away,4,3,W,William Carvalho,Y,DM,90,0,1,0,0,0,0,0,0,0,0,0
2018-11-25,2018-19,La Liga,Real Betis,Villarreal,Away,1,2,L,William Carvalho,Y,DM,90,0,0,0,0,0,0,1,2,0,0,0
2018-12-02,2018-19,La Liga,Real Betis,Real Sociedad,Home,1,0,W,William Carvalho,Y,CM,90,0,1,0,0,1,0,2,1,0,3,0
2018-12-09,2018-19,La Liga,Real Betis,Rayo Vallecano,Home,2,0,W,William Carvalho,Y,CM,83,0,1,1,0,1,0,0,3,0,0,0
2018-12-16,2018-19,La Liga,Real Betis,Espanyol,Away,3,1,W,William Carvalho,Y,DM,90,0,0,1,0,1,0,1,4,0,0,0
2018-12-22,2018-19,La Liga,Real Betis,Eibar,Home,1,1,D,William Carvalho,Y,DM,90,0,0,0,0,0,0,1,3,0,2,0
2019-01-05,2018-19,La Liga,Real Betis,Huesca,Away,1,2,L,William Carvalho,Y,CM,90,0,0,0,0,0,0,0,0,0,2,0
2019-01-13,2018-19,La Liga,Real Betis,Real Madrid,Home,1,2,L,William Carvalho,Y,CM,90,0,0,0,0,1,0,1,0,0,2,1
2019-01-27,2018-19,La Liga,Real Betis,Athletic Club,Away,0,1,L,William Carvalho,Y,DM,90,0,0,2,0,0,0,0,1,0,3,3
2019-02-10,2018-19,La Liga,Real Betis,Leganés,Away,0,3,L,William Carvalho,Y,DM,90,0,0,0,0,0,0,1,0,1,1,1
2019-02-17,2018-19,La Liga,Real Betis,Alavés,Home,1,1,D,William Carvalho,Y,DM,90,0,0,1,0,0,0,1,1,0,2,0
2019-02-24,2018-19,La Liga,Real Betis,Valladolid,Away,2,0,W,William Carvalho,Y,DM,90,0,0,0,0,0,0,1,0,0,0,0
2019-03-03,2018-19,La Liga,Real Betis,Getafe,Home,1,2,L,William Carvalho,Y,DM,90,0,1,0,0,0,0,0,2,0,0,0
2019-03-10,2018-19,La Liga,Real Betis,Celta Vigo,Away,1,0,W,William Carvalho,Y,DM,90,0,0,1,0,0,0,0,2,0,1,1
