Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2023-12-23,2023-2024,Premier League,Manchester Utd,West Ham,Away,0,2,L,Willy Kambwala,Y,CB,83,0,0,0,0,0,0,1,0,0,0,0
2023-12-26,2023-2024,Premier League,Manchester Utd,Aston Villa,Home,3,2,W,Willy Kambwala,N,,2,0,0,0,0,0,0,0,0,0,0,0
2024-03-03,2023-2024,Premier League,Manchester Utd,Manchester City,Away,1,3,L,Willy Kambwala,N,,22,0,0,0,0,0,0,0,0,0,0,0
2024-03-09,2023-2024,Premier League,Manchester Utd,Everton,Home,2,0,W,Willy Kambwala,N,,2,0,0,0,0,0,0,0,0,0,0,0
2024-04-04,2023-2024,Premier League,Manchester Utd,Chelsea,Away,3,4,L,Willy Kambwala,N,,25,0,0,0,0,0,0,0,0,0,0,0
2024-04-07,2023-2024,Premier League,Manchester Utd,Liverpool,Home,2,2,D,Willy Kambwala,Y,CB,90,0,0,0,0,1,0,1,0,0,0,2
2024-04-13,2023-2024,Premier League,Manchester Utd,Bournemouth,Away,2,2,D,Willy Kambwala,Y,CB,90,0,0,0,0,0,0,2,0,0,0,2
2024-05-12,2023-2024,Premier League,Manchester Utd,Arsenal,Home,0,1,L,Willy Kambwala,N,,16,0,0,0,0,0,0,0,0,0,1,0
2024-08-23,2024-2025,La Liga,Villarreal,Sevilla,Away,2,1,W,Willy Kambwala,Y,CB,90,0,0,0,0,0,0,0,0,0,2,0
2024-12-18,2024-2025,La Liga,Villarreal,Rayo Vallecano,Home,1,1,D,Willy Kambwala,Y,CB,31,0,0,0,0,0,1,1,0,0,1,1
2025-01-13,2024-2025,La Liga,Villarreal,Real Sociedad,Away,0,1,L,Willy Kambwala,Y,CB,90,0,0,2,1,0,0,0,0,0,1,1
2025-01-20,2024-2025,La Liga,Villarreal,Mallorca,Home,4,0,W,Willy Kambwala,N,,23,0,0,0,0,0,0,0,0,0,0,0
2025-01-25,2024-2025,La Liga,Villarreal,Atlético Madrid,Away,1,1,D,Willy Kambwala,Y,CB,90,0,0,0,0,0,0,0,0,0,0,1
2025-02-01,2024-2025,La Liga,Villarreal,Valladolid,Home,5,1,W,Willy Kambwala,Y,CB,90,0,0,0,0,0,0,0,0,0,0,0
2025-02-08,2024-2025,La Liga,Villarreal,Las Palmas,Away,2,1,W,Willy Kambwala,Y,CB,78,0,0,0,0,0,0,0,0,0,0,0
2025-02-22,2024-2025,La Liga,Villarreal,Rayo Vallecano,Away,1,0,W,Willy Kambwala,Y,CB,90,0,0,0,0,0,0,1,0,0,1,2
2025-03-08,2024-2025,La Liga,Villarreal,Alavés,Away,0,1,L,Willy Kambwala,Y,CB,89,0,0,1,0,0,0,2,0,0,1,0
2025-03-15,2024-2025,La Liga,Villarreal,Real Madrid,Home,1,2,L,Willy Kambwala,Y,CB,90,0,0,1,0,0,0,0,0,0,0,1
2025-03-30,2024-2025,La Liga,Villarreal,Getafe,Away,2,1,W,Willy Kambwala,Y,CB,45,0,0,0,0,1,0,1,0,0,0,0
2025-04-06,2024-2025,La Liga,Villarreal,Athletic Club,Home,0,0,D,Willy Kambwala,N,,13,0,0,0,0,0,0,0,0,0,0,0
2025-04-13,2024-2025,La Liga,Villarreal,Real Betis,Away,2,1,W,Willy Kambwala,N,,13,0,0,0,0,0,0,0,0,0,0,0
2025-04-23,2024-2025,La Liga,Villarreal,Celta Vigo,Away,0,3,L,Willy Kambwala,Y,CB,90,0,0,0,0,0,0,0,0,0,1,1
2025-05-03,2024-2025,La Liga,Villarreal,Osasuna,Home,4,2,W,Willy Kambwala,N,,15,0,0,0,0,0,0,0,0,0,0,1
2025-05-10,2024-2025,La Liga,Villarreal,Girona,N,1,0,W,Willy Kambwala,N,,18,0,0,0,0,0,0,0,0,0,1,0
2025-05-14,2024-2025,La Liga,Villarreal,Leganés,Home,3,0,W,Willy Kambwala,N,,45,0,0,0,0,0,0,0,0,0,2,1
2025-05-18,2024-2025,La Liga,Villarreal,Barcelona,Away,3,2,W,Willy Kambwala,N,,27,0,0,0,0,0,0,0,0,0,1,0
2025-05-25,2024-2025,La Liga,Villarreal,Sevilla,Home,4,2,W,Willy Kambwala,Y,CB,90,0,0,0,0,0,0,0,0,0,0,1
