Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2010-12-13,2010-2011,Premier League,Arsenal,Manchester Utd,Away,0,1,L,Wojciech Szczęsny,Y,GK,90,0,0,,,0,0,,,,,
2011-01-15,2010-2011,Premier League,Arsenal,West Ham,Away,3,0,W,Wojciech Szczęsny,Y,GK,90,0,0,,,0,0,,,,,
2011-01-22,2010-2011,Premier League,Arsenal,Wigan Athletic,Home,3,0,W,Wojciech Szczęsny,Y,GK,90,0,0,,,0,0,,,,,
2011-02-01,2010-2011,Premier League,Arsenal,Everton,Home,2,1,W,Wojciech Szczęsny,Y,GK,90,0,0,,,0,0,,,,,
2011-02-05,2010-2011,Premier League,Arsenal,Newcastle,Away,4,4,D,Wojciech Szczęsny,Y,GK,90,0,0,,,1,0,,,,,
2011-02-12,2010-2011,Premier League,Arsenal,Wolves,Home,2,0,W,Wojciech Szczęsny,Y,GK,90,0,0,,,0,0,,,,,
2011-02-23,2010-2011,Premier League,Arsenal,Stoke City,Home,1,0,W,Wojciech Szczęsny,Y,GK,90,0,0,,,0,0,,,,,
2011-03-05,2010-2011,Premier League,Arsenal,Sunderland,Home,0,0,D,Wojciech Szczęsny,Y,GK,90,0,0,,,0,0,,,,,
2011-04-17,2010-2011,Premier League,Arsenal,Liverpool,Home,1,1,D,Wojciech Szczęsny,Y,GK,90,0,0,,,0,0,,,,,
2011-04-20,2010-2011,Premier League,Arsenal,Tottenham,Away,3,3,D,Wojciech Szczęsny,Y,GK,90,0,0,,,0,0,,,,,
2011-04-24,2010-2011,Premier League,Arsenal,Bolton,Away,1,2,L,Wojciech Szczęsny,Y,GK,90,0,0,,,0,0,,,,,
2011-05-01,2010-2011,Premier League,Arsenal,Manchester Utd,Home,1,0,W,Wojciech Szczęsny,Y,GK,90,0,0,,,0,0,,,,,
2011-05-08,2010-2011,Premier League,Arsenal,Stoke City,Away,1,3,L,Wojciech Szczęsny,Y,GK,90,0,0,,,0,0,,,,,
2011-05-15,2010-2011,Premier League,Arsenal,Aston Villa,Home,1,2,L,Wojciech Szczęsny,Y,GK,90,0,0,,,0,0,,,,,
2011-05-22,2010-2011,Premier League,Arsenal,Fulham,Away,2,2,D,Wojciech Szczęsny,Y,GK,90,0,0,,,0,0,,,,,
2011-08-13,2011-2012,Premier League,Arsenal,Newcastle,Away,0,0,D 0–0,Wojciech Szczęsny,Y,GK,90,0,0,0,0,1,0,,,,,
2011-08-20,2011-2012,Premier League,Arsenal,Liverpool,Home,0,2,L 0–2,Wojciech Szczęsny,Y,GK,90,0,0,0,0,0,0,,,,,
2011-08-28,2011-2012,Premier League,Arsenal,Manchester Utd,Away,2,8,L 2–8,Wojciech Szczęsny,Y,GK,90,0,0,0,0,0,0,,,,,
2011-09-10,2011-2012,Premier League,Arsenal,Swansea City,Home,1,0,W 1–0,Wojciech Szczęsny,Y,GK,90,0,0,0,0,0,0,,,,,
2011-09-17,2011-2012,Premier League,Arsenal,Blackburn,Away,3,4,L 3–4,Wojciech Szczęsny,Y,GK,90,0,0,0,0,0,0,,,,,
2011-09-24,2011-2012,Premier League,Arsenal,Bolton,Home,3,0,W 3–0,Wojciech Szczęsny,Y,GK,90,0,0,0,0,0,0,,,,,
2011-10-02,2011-2012,Premier League,Arsenal,Tottenham,Away,1,2,L 1–2,Wojciech Szczęsny,Y,GK,90,0,0,0,0,0,0,,,,,
2011-10-16,2011-2012,Premier League,Arsenal,Sunderland,Home,2,1,W 2–1,Wojciech Szczęsny,Y,GK,90,0,0,0,0,0,0,,,,,
2011-10-23,2011-2012,Premier League,Arsenal,Stoke City,Home,3,1,W 3–1,Wojciech Szczęsny,Y,GK,90,0,0,0,0,0,0,,,,,
2011-10-29,2011-2012,Premier League,Arsenal,Chelsea,Away,5,3,W 5–3,Wojciech Szczęsny,Y,GK,90,0,0,0,0,1,0,,,,,
2011-11-05,2011-2012,Premier League,Arsenal,West Brom,Home,3,0,W 3–0,Wojciech Szczęsny,Y,GK,90,0,0,0,0,0,0,,,,,
2011-11-19,2011-2012,Premier League,Arsenal,Norwich City,Away,2,1,W 2–1,Wojciech Szczęsny,Y,GK,90,0,0,0,0,0,0,,,,,
2011-11-26,2011-2012,Premier League,Arsenal,Fulham,Home,1,1,D 1–1,Wojciech Szczęsny,Y,GK,90,0,0,0,0,0,0,,,,,
2011-12-03,2011-2012,Premier League,Arsenal,Wigan Athletic,Away,4,0,W 4–0,Wojciech Szczęsny,Y,GK,90,0,0,0,0,0,0,,,,,
2011-12-10,2011-2012,Premier League,Arsenal,Everton,Home,1,0,W 1–0,Wojciech Szczęsny,Y,GK,90,0,0,0,0,0,0,,,,,
2011-12-18,2011-2012,Premier League,Arsenal,Manchester City,Away,0,1,L 0–1,Wojciech Szczęsny,Y,GK,90,0,0,0,0,0,0,,,,,
2011-12-21,2011-2012,Premier League,Arsenal,Aston Villa,Away,2,1,W 2–1,Wojciech Szczęsny,Y,GK,90,0,0,0,0,0,0,,,,,
2011-12-27,2011-2012,Premier League,Arsenal,Wolves,Home,1,1,D 1–1,Wojciech Szczęsny,Y,GK,90,0,0,0,0,0,0,,,,,
2011-12-31,2011-2012,Premier League,Arsenal,QPR,Home,1,0,W 1–0,Wojciech Szczęsny,Y,GK,90,0,0,0,0,0,0,,,,,
2012-01-02,2011-2012,Premier League,Arsenal,Fulham,Away,1,2,L 1–2,Wojciech Szczęsny,Y,GK,90,0,0,0,0,0,0,,,,,
2012-01-15,2011-2012,Premier League,Arsenal,Swansea City,Away,2,3,L 2–3,Wojciech Szczęsny,Y,GK,90,0,0,0,0,0,0,,,,,
2012-01-22,2011-2012,Premier League,Arsenal,Manchester Utd,Home,1,2,L 1–2,Wojciech Szczęsny,Y,GK,90,0,0,0,0,0,0,,,,,
2012-02-01,2011-2012,Premier League,Arsenal,Bolton,Away,0,0,D 0–0,Wojciech Szczęsny,Y,GK,90,0,0,0,0,0,0,,,,,
2012-02-04,2011-2012,Premier League,Arsenal,Blackburn,Home,7,1,W 7–1,Wojciech Szczęsny,Y,GK,90,0,0,0,0,0,0,,,,,
2012-02-11,2011-2012,Premier League,Arsenal,Sunderland,Away,2,1,W 2–1,Wojciech Szczęsny,Y,GK,90,0,0,0,0,0,0,,,,,
2012-02-26,2011-2012,Premier League,Arsenal,Tottenham,Home,5,2,W,Wojciech Szczęsny,Y,GK,90,0,0,,,0,0,,,,,
2012-03-03,2011-2012,Premier League,Arsenal,Liverpool,Away,2,1,W,Wojciech Szczęsny,Y,GK,90,0,0,,,0,0,,,,,
2012-03-12,2011-2012,Premier League,Arsenal,Newcastle,Home,2,1,W,Wojciech Szczęsny,Y,GK,90,0,0,,,0,0,,,,,
2012-03-21,2011-2012,Premier League,Arsenal,Everton,Away,1,0,W,Wojciech Szczęsny,Y,GK,90,0,0,,,0,0,,,,,
2012-03-24,2011-2012,Premier League,Arsenal,Aston Villa,Home,3,0,W,Wojciech Szczęsny,Y,GK,90,0,0,,,0,0,,,,,
2012-03-31,2011-2012,Premier League,Arsenal,QPR,Away,1,2,L,Wojciech Szczęsny,Y,GK,90,0,0,,,0,0,,,,,
2012-04-08,2011-2012,Premier League,Arsenal,Manchester City,Home,1,0,W,Wojciech Szczęsny,Y,GK,90,0,0,,,0,0,,,,,
2012-04-11,2011-2012,Premier League,Arsenal,Wolves,Away,3,0,W,Wojciech Szczęsny,Y,GK,90,0,0,,,0,0,,,,,
2012-04-16,2011-2012,Premier League,Arsenal,Wigan Athletic,Home,1,2,L,Wojciech Szczęsny,Y,GK,90,0,0,,,0,0,,,,,
2012-04-21,2011-2012,Premier League,Arsenal,Chelsea,Home,0,0,D,Wojciech Szczęsny,Y,GK,90,0,0,,,0,0,,,,,
2012-04-28,2011-2012,Premier League,Arsenal,Stoke City,Away,1,1,D,Wojciech Szczęsny,Y,GK,90,0,0,,,0,0,,,,,
2012-05-05,2011-2012,Premier League,Arsenal,Norwich City,Home,3,3,D,Wojciech Szczęsny,Y,GK,90,0,0,,,0,0,,,,,
2012-05-13,2011-2012,Premier League,Arsenal,West Brom,Away,3,2,W,Wojciech Szczęsny,Y,GK,90,0,0,,,0,0,,,,,
2012-08-18,2012-2013,Premier League,Arsenal,Sunderland,Home,0,0,D 0–0,Wojciech Szczęsny,Y,GK,90,0,0,0,0,0,0,,,,,
2012-09-15,2012-2013,Premier League,Arsenal,Southampton,Home,6,1,W 6–1,Wojciech Szczęsny,Y,GK,90,0,0,0,0,0,0,,,,,
2012-11-17,2012-2013,Premier League,Arsenal,Tottenham,Home,5,2,W 5–2,Wojciech Szczęsny,Y,GK,90,0,0,0,0,0,0,,,,,
2012-11-24,2012-2013,Premier League,Arsenal,Aston Villa,Away,0,0,D 0–0,Wojciech Szczęsny,Y,GK,90,0,0,0,0,0,0,,,,,
2012-11-28,2012-2013,Premier League,Arsenal,Everton,Away,1,1,D 1–1,Wojciech Szczęsny,Y,GK,90,0,0,0,0,0,0,,,,,
2012-12-01,2012-2013,Premier League,Arsenal,Swansea City,Home,0,2,L 0–2,Wojciech Szczęsny,Y,GK,90,0,0,0,0,0,0,,,,,
2012-12-08,2012-2013,Premier League,Arsenal,West Brom,Home,2,0,W 2–0,Wojciech Szczęsny,Y,GK,90,0,0,0,0,0,0,,,,,
2012-12-17,2012-2013,Premier League,Arsenal,Reading,Away,5,2,W 5–2,Wojciech Szczęsny,Y,GK,90,0,0,0,0,0,0,,,,,
2012-12-22,2012-2013,Premier League,Arsenal,Wigan Athletic,Away,1,0,W 1–0,Wojciech Szczęsny,Y,GK,90,0,0,0,0,0,0,,,,,
2012-12-29,2012-2013,Premier League,Arsenal,Newcastle,Home,7,3,W 7–3,Wojciech Szczęsny,Y,GK,90,0,0,0,0,0,0,,,,,
2013-01-01,2012-2013,Premier League,Arsenal,Southampton,Away,1,1,D 1–1,Wojciech Szczęsny,Y,GK,90,0,0,0,0,0,0,,,,,
2013-01-13,2012-2013,Premier League,Arsenal,Manchester City,Home,0,2,L 0–2,Wojciech Szczęsny,Y,GK,90,0,0,0,0,0,0,,,,,
2013-01-20,2012-2013,Premier League,Arsenal,Chelsea,Away,1,2,L 1–2,Wojciech Szczęsny,Y,GK,90,0,0,0,0,1,0,,,,,
2013-01-23,2012-2013,Premier League,Arsenal,West Ham,Home,5,1,W 5–1,Wojciech Szczęsny,Y,GK,90,0,0,0,0,0,0,,,,,
2013-01-30,2012-2013,Premier League,Arsenal,Liverpool,Home,2,2,D 2–2,Wojciech Szczęsny,Y,GK,90,0,0,0,0,0,0,,,,,
2013-02-02,2012-2013,Premier League,Arsenal,Stoke City,Home,1,0,W 1–0,Wojciech Szczęsny,Y,GK,90,0,0,0,0,0,0,,,,,
2013-02-09,2012-2013,Premier League,Arsenal,Sunderland,Away,1,0,W 1–0,Wojciech Szczęsny,Y,GK,90,0,0,0,0,0,0,,,,,
2013-02-23,2012-2013,Premier League,Arsenal,Aston Villa,Home,2,1,W 2–1,Wojciech Szczęsny,Y,GK,90,0,0,0,0,0,0,,,,,
2013-03-03,2012-2013,Premier League,Arsenal,Tottenham,Away,1,2,L 1–2,Wojciech Szczęsny,Y,GK,90,0,0,0,0,0,0,,,,,
2013-04-16,2012-2013,Premier League,Arsenal,Everton,Home,0,0,D 0–0,Wojciech Szczęsny,Y,GK,90,0,0,0,0,0,0,,,,,
2013-04-20,2012-2013,Premier League,Arsenal,Fulham,Away,1,0,W 1–0,Wojciech Szczęsny,Y,GK,90,0,0,0,0,0,0,,,,,
2013-04-28,2012-2013,Premier League,Arsenal,Manchester Utd,Home,1,1,D 1–1,Wojciech Szczęsny,Y,GK,90,0,0,0,0,0,0,,,,,
2013-05-04,2012-2013,Premier League,Arsenal,QPR,Away,1,0,W 1–0,Wojciech Szczęsny,Y,GK,90,0,0,0,0,0,0,,,,,
2013-05-14,2012-2013,Premier League,Arsenal,Wigan Athletic,Home,4,1,W 4–1,Wojciech Szczęsny,Y,GK,90,0,0,0,0,0,0,,,,,
2013-05-19,2012-2013,Premier League,Arsenal,Newcastle,Away,1,0,W 1–0,Wojciech Szczęsny,Y,GK,90,0,0,0,0,0,0,,,,,
2013-08-17,2013-2014,Premier League,Arsenal,Aston Villa,Home,1,3,L,Wojciech Szczęsny,Y,GK,90,0,0,,,1,0,,,,,
2013-08-24,2013-2014,Premier League,Arsenal,Fulham,Away,3,1,W,Wojciech Szczęsny,Y,GK,90,0,0,,,0,0,,,,,
2013-09-01,2013-2014,Premier League,Arsenal,Tottenham,Home,1,0,W,Wojciech Szczęsny,Y,GK,90,0,0,,,0,0,,,,,
2013-09-14,2013-2014,Premier League,Arsenal,Sunderland,Away,3,1,W,Wojciech Szczęsny,Y,GK,90,0,0,,,0,0,,,,,
2013-09-22,2013-2014,Premier League,Arsenal,Stoke City,Home,3,1,W,Wojciech Szczęsny,Y,GK,90,0,0,,,0,0,,,,,
2013-09-28,2013-2014,Premier League,Arsenal,Swansea City,Away,2,1,W,Wojciech Szczęsny,Y,GK,90,0,0,,,0,0,,,,,
2013-10-06,2013-2014,Premier League,Arsenal,West Brom,Away,1,1,D,Wojciech Szczęsny,Y,GK,90,0,0,,,0,0,,,,,
2013-10-19,2013-2014,Premier League,Arsenal,Norwich City,Home,4,1,W,Wojciech Szczęsny,Y,GK,90,0,0,,,0,0,,,,,
2013-10-26,2013-2014,Premier League,Arsenal,Crystal Palace,Away,2,0,W,Wojciech Szczęsny,Y,GK,90,0,0,,,0,0,,,,,
2013-11-02,2013-2014,Premier League,Arsenal,Liverpool,Home,2,0,W,Wojciech Szczęsny,Y,GK,90,0,0,,,0,0,,,,,
2013-11-10,2013-2014,Premier League,Arsenal,Manchester Utd,Away,0,1,L,Wojciech Szczęsny,Y,GK,90,0,0,,,0,0,,,,,
