Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2023-10-07,2023-2024,La Liga,Valencia,Mallorca,Away,1,1,D,Yarek Gasiorowski,N,,1,0,0,0,0,0,0,0,0,0,0,0
2023-11-05,2023-2024,La Liga,Valencia,Granada,Home,1,0,W,Yarek Gasiorowski,N,,1,0,0,0,0,0,0,0,0,0,0,0
2023-11-11,2023-2024,La Liga,Valencia,Real Madrid,Away,1,5,L,Yarek Gasiorowski,N,,36,0,0,0,0,0,0,0,0,0,0,0
2023-11-25,2023-2024,La Liga,Valencia,Celta Vigo,Home,0,0,D,Yarek Gasiorowski,N,,45,0,0,0,0,0,0,0,0,0,1,4
2023-12-02,2023-2024,La Liga,Valencia,Girona,Away,1,2,L,Yarek Gasiorowski,Y,LB,88,0,0,0,0,1,0,1,0,0,0,2
2023-12-08,2023-2024,La Liga,Valencia,Getafe,Away,0,1,L,Yarek Gasiorowski,Y,LB,89,0,0,0,0,0,0,0,0,0,5,1
2023-12-16,2023-2024,La Liga,Valencia,Barcelona,Home,1,1,D,Yarek Gasiorowski,N,,10,0,0,0,0,0,0,1,0,0,0,0
2024-01-02,2023-2024,La Liga,Valencia,Villarreal,Home,3,1,W,Yarek Gasiorowski,N,,5,0,0,0,0,0,0,0,0,0,0,0
2024-01-14,2023-2024,La Liga,Valencia,Cádiz,Away,4,1,W,Yarek Gasiorowski,N,,10,0,0,0,0,0,0,0,0,0,1,0
2024-04-29,2023-2024,La Liga,Valencia,Barcelona,Away,2,4,L,Yarek Gasiorowski,Y,CB,90,0,0,0,0,0,0,1,0,0,1,5
2024-05-05,2023-2024,La Liga,Valencia,Alavés,Home,0,1,L,Yarek Gasiorowski,Y,CB,90,0,0,0,0,0,0,1,0,2,1,0
2024-05-12,2023-2024,La Liga,Valencia,Rayo Vallecano,Home,0,0,D,Yarek Gasiorowski,Y,LB,90,0,0,1,0,0,0,3,0,2,1,1
2024-05-19,2023-2024,La Liga,Valencia,Girona,Home,1,3,L,Yarek Gasiorowski,Y,LB,90,0,0,0,0,0,0,3,0,2,2,0
2024-05-26,2023-2024,La Liga,Valencia,Celta Vigo,Away,2,2,D,Yarek Gasiorowski,Y,CB,90,0,0,0,0,0,0,1,0,0,1,1
2024-08-17,2024-2025,La Liga,Valencia,Barcelona,Home,1,2,L,Yarek Gasiorowski,Y,CB,90,0,0,0,0,0,0,0,0,0,1,1
2024-08-23,2024-2025,La Liga,Valencia,Celta Vigo,Away,1,3,L,Yarek Gasiorowski,Y,CB,90,0,0,1,0,0,0,0,0,0,3,0
2024-10-04,2024-2025,La Liga,Valencia,Leganés,Away,0,0,D,Yarek Gasiorowski,Y,CB,90,0,0,0,0,0,0,0,0,1,2,2
2024-10-27,2024-2025,La Liga,Valencia,Getafe,Away,1,1,D,Yarek Gasiorowski,N,,16,0,0,0,0,0,0,0,0,0,0,0
2024-11-23,2024-2025,La Liga,Valencia,Real Betis,Home,4,2,W,Yarek Gasiorowski,Y,CB,90,0,0,0,0,0,0,0,0,0,3,2
2024-11-29,2024-2025,La Liga,Valencia,Mallorca,Away,1,2,L,Yarek Gasiorowski,Y,CB,83,0,0,0,0,0,0,0,0,0,4,2
2024-12-07,2024-2025,La Liga,Valencia,Rayo Vallecano,Home,0,1,L,Yarek Gasiorowski,Y,CB,88,0,0,1,0,1,0,2,0,0,0,7
2024-12-13,2024-2025,La Liga,Valencia,Valladolid,Away,0,1,L,Yarek Gasiorowski,N,,45,0,0,0,0,0,0,0,0,2,0,1
2024-12-18,2024-2025,La Liga,Valencia,Espanyol,Away,1,1,D,Yarek Gasiorowski,N,,34,0,0,0,0,0,0,0,0,0,1,1
2024-12-22,2024-2025,La Liga,Valencia,Alavés,Home,2,2,D,Yarek Gasiorowski,Y,CB,90,0,0,0,0,0,0,2,0,0,1,1
2025-01-03,2024-2025,La Liga,Valencia,Real Madrid,Home,1,2,L,Yarek Gasiorowski,Y,LB,87,0,0,0,0,0,0,0,0,0,0,3
2025-01-11,2024-2025,La Liga,Valencia,Sevilla,Away,1,1,D,Yarek Gasiorowski,N,,23,0,0,0,0,0,0,0,0,0,0,1
2025-01-26,2024-2025,La Liga,Valencia,Barcelona,Away,1,7,L,Yarek Gasiorowski,Y,CB,81,0,0,1,0,0,0,1,0,0,1,4
2025-02-09,2024-2025,La Liga,Valencia,Leganés,Home,2,0,W,Yarek Gasiorowski,N,,33,0,0,0,0,0,0,0,0,0,0,0
2025-05-03,2024-2025,La Liga,Valencia,Las Palmas,Away,3,2,W,Yarek Gasiorowski,N,,7,0,0,0,0,0,0,0,0,0,0,1
