Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2024-08-29,2024-2025,La Liga,Girona,Osasuna,Home,4,0,W,Yaser Asprilla,N,-,17,0,0,0,0,0,0,0,1,0,0,0
2024-09-01,2024-2025,La Liga,Girona,Sevilla,Away,2,0,W,Yaser Asprilla,N,-,33,0,0,1,0,1,0,3,0,0,1,0
2024-09-15,2024-2025,La Liga,Girona,Barcelona,Home,1,4,L,Yaser Asprilla,N,-,37,0,0,0,0,0,0,1,1,0,2,1
2024-09-21,2024-2025,La Liga,Girona,Valencia,Away,0,2,L,Yaser Asprilla,Y,RM,90,0,0,0,0,0,0,1,3,0,6,1
2024-09-25,2024-2025,La Liga,Girona,Rayo Vallecano,Home,0,0,D,Yaser Asprilla,Y,FW,74,0,0,2,0,0,0,0,2,0,3,0
2024-10-06,2024-2025,La Liga,Girona,Athletic Club,Home,2,1,W,Yaser Asprilla,Y,AM,89,1,0,3,1,0,0,0,0,0,8,2
2024-11-23,2024-2025,La Liga,Girona,Espanyol,Home,4,1,W,Yaser Asprilla,Y,AM,59,0,0,2,0,0,0,0,3,0,6,0
2024-12-07,2024-2025,La Liga,Girona,Real Madrid,Home,0,3,L,Yaser Asprilla,Y,AM,90,0,0,5,2,0,0,0,0,0,7,0
2024-12-14,2024-2025,La Liga,Girona,Mallorca,Away,1,2,L,Yaser Asprilla,Y,FW,90,0,0,2,0,0,0,0,0,0,4,1
2024-12-20,2024-2025,La Liga,Girona,Valladolid,Home,3,0,W,Yaser Asprilla,Y,FW,70,0,0,4,1,0,0,0,1,0,5,2
2025-01-18,2024-2025,La Liga,Girona,Sevilla,Home,1,2,L,Yaser Asprilla,Y,AM,68,0,0,0,0,0,0,0,2,0,1,0
2025-01-26,2024-2025,La Liga,Girona,Rayo Vallecano,Away,1,2,L,Yaser Asprilla,Y,AM,53,0,0,1,0,0,0,0,0,0,1,0
2025-02-03,2024-2025,La Liga,Girona,Las Palmas,Home,2,1,W,Yaser Asprilla,N,-,25,1,0,1,1,0,0,0,1,0,1,0
2025-02-08,2024-2025,La Liga,Girona,Athletic Club,Away,0,3,L,Yaser Asprilla,N,-,24,0,0,0,0,0,0,0,0,0,2,1
2025-02-14,2024-2025,La Liga,Girona,Getafe,Home,1,2,L,Yaser Asprilla,N,-,22,0,0,1,1,1,0,1,2,0,2,0
2025-02-23,2024-2025,La Liga,Girona,Real Madrid,Away,0,2,L,Yaser Asprilla,N,-,25,0,0,2,0,0,0,0,0,0,1,0
2025-03-01,2024-2025,La Liga,Girona,Celta Vigo,Home,2,2,D,Yaser Asprilla,N,-,7,0,0,0,0,0,0,0,1,0,0,0
2025-03-15,2024-2025,La Liga,Girona,Valencia,Away,1,1,D,Yaser Asprilla,N,-,6,0,0,1,1,0,0,0,0,0,1,0
2025-03-30,2024-2025,La Liga,Girona,Barcelona,Away,1,4,L,Yaser Asprilla,Y,LM,58,0,0,0,0,0,0,0,0,0,4,2
2025-04-05,2024-2025,La Liga,Girona,Alavés,Home,0,1,L,Yaser Asprilla,Y,AM,90,0,0,5,0,0,0,0,3,0,8,0
2025-04-13,2024-2025,La Liga,Girona,Osasuna,Away,1,2,L,Yaser Asprilla,N,-,40,1,0,3,1,0,0,2,0,0,5,0
2025-04-21,2024-2025,La Liga,Girona,Real Betis,Home,1,3,L,Yaser Asprilla,Y,FW,56,0,0,1,1,0,0,0,0,0,0,0
2025-05-05,2024-2025,La Liga,Girona,Mallorca,Home,1,0,W,Yaser Asprilla,N,-,7,0,0,0,0,0,0,0,0,0,0,1
2025-05-10,2024-2025,La Liga,Girona,Villarreal,Away,0,1,L,Yaser Asprilla,N,-,25,0,0,0,0,0,0,0,1,0,9,1
2025-05-13,2024-2025,La Liga,Girona,Valladolid,Away,1,0,W,Yaser Asprilla,Y,AM,70,0,0,2,1,0,0,1,1,0,1,0
2025-05-18,2024-2025,La Liga,Girona,Real Sociedad,Away,2,3,L,Yaser Asprilla,Y,AM,90,0,1,2,1,0,0,1,0,0,9,1
2025-05-25,2024-2025,La Liga,Girona,Atlético Madrid,Home,0,4,L,Yaser Asprilla,Y,LM,90,0,0,0,0,0,0,1,0,0,6,1
