Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2020-08-30,2020-2021,Ligue 1,Saint-Étienne,Lorient,Home,2,0,W 2-0,Yvan Neyou,Y,DM,70,0,0,2,1,1,0,3,2,0,1,0
2020-09-12,2020-2021,Ligue 1,Saint-Étienne,Strasbourg,Home,2,0,W 2-0,Yvan Neyou,Y,DM,71,0,0,1,0,1,0,5,2,0,1,0
2020-09-17,2020-2021,Ligue 1,Saint-Étienne,Marseille,Away,2,0,W 2-0,Yvan Neyou,Y,CM,70,0,0,0,0,0,0,2,1,0,0,1
2020-09-20,2020-2021,Ligue 1,Saint-Étienne,Nantes,Away,2,2,D 2-2,Yvan Neyou,Y,CM,79,0,1,0,0,0,0,1,3,0,0,0
2020-09-26,2020-2021,Ligue 1,Saint-Étienne,Rennes,Home,0,3,L 0-3,Yvan Neyou,N,-,45,0,0,0,0,1,0,1,3,0,1,0
2020-10-03,2020-2021,Ligue 1,Saint-Étienne,Lens,Away,0,2,L 0-2,Yvan Neyou,Y,DM,84,0,0,0,0,0,0,0,5,0,2,2
2020-10-25,2020-2021,Ligue 1,Saint-Étienne,Metz,Away,0,2,L 0-2,Yvan Neyou,Y,DM,81,0,0,1,0,1,0,1,1,0,0,3
2020-11-01,2020-2021,Ligue 1,Saint-Étienne,Montpellier,Home,0,1,L 0-1,Yvan Neyou,Y,CM,90,0,0,1,0,0,0,2,2,0,1,2
2020-11-08,2020-2021,Ligue 1,Saint-Étienne,Lyon,Away,1,2,L 1-2,Yvan Neyou,Y,CM,90,0,0,2,0,0,0,2,2,0,4,5
2020-11-21,2020-2021,Ligue 1,Saint-Étienne,Brest,Away,1,4,L 1-4,Yvan Neyou,Y,CM,90,0,0,1,0,0,0,1,0,1,0,1
2020-11-29,2020-2021,Ligue 1,Saint-Étienne,Lille,Home,1,1,D 1-1,Yvan Neyou,Y,CM,90,0,0,0,0,1,0,2,2,0,3,1
2020-12-06,2020-2021,Ligue 1,Saint-Étienne,Dijon,Away,0,0,D 0-0,Yvan Neyou,Y,CM,90,0,0,0,0,0,0,5,0,0,0,1
2020-12-11,2020-2021,Ligue 1,Saint-Étienne,Angers,Home,0,0,D 0-0,Yvan Neyou,Y,DM,90,0,0,2,2,0,0,1,0,0,3,1
