Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2020-07-13,2019-2020,La Liga,Villarreal,Real Sociedad,Home,1,2,L,Álex Baena,N,N/A,15,0,0,0,0,0,0,0,0,0,0,0
2020-12-06,2020-2021,La Liga,Villarreal,Elche,Home,0,0,D,Álex Baena,Y,LW,45,0,0,0,0,1,0,3,0,0,0,0
2021-02-14,2020-2021,La Liga,Villarreal,Real Betis,Home,1,2,L,Álex Baena,Y,CM,60,0,0,0,0,0,0,1,0,2,3,1
2021-02-28,2020-2021,La Liga,Villarreal,Atlético Madrid,Home,0,2,L,Álex Baena,N,N/A,20,0,0,2,1,0,0,0,0,2,0,0
2021-05-02,2020-2021,La Liga,Villarreal,Getafe,Home,1,0,W,Álex Baena,N,N/A,1,0,0,0,0,0,0,0,0,0,0,0
2021-05-13,2020-2021,La Liga,Villarreal,Valladolid,Away,2,0,W,Álex Baena,N,N/A,1,0,0,0,0,1,0,0,0,0,0,0
2021-05-16,2020-2021,La Liga,Villarreal,Sevilla,Home,4,0,W,Álex Baena,N,N/A,10,0,0,0,0,0,0,0,0,0,0,0
2022-08-13,2022-2023,La Liga,Villarreal,Valladolid,Away,3,0,W,Álex Baena,N,N/A,28,2,0,2,2,0,0,0,0,0,0,1
2022-08-21,2022-2023,La Liga,Villarreal,Atlético Madrid,Away,2,0,W,Álex Baena,N,N/A,21,0,0,1,0,1,0,2,1,0,0,1
2022-08-28,2022-2023,La Liga,Villarreal,Getafe,Away,0,0,D,Álex Baena,N,N/A,22,0,0,1,1,0,0,0,0,0,0,0
2022-09-04,2022-2023,La Liga,Villarreal,Elche,Home,4,0,W,Álex Baena,N,N/A,26,0,0,0,0,0,0,1,0,0,0,0
2022-09-11,2022-2023,La Liga,Villarreal,Real Betis,Away,0,1,L,Álex Baena,N,N/A,37,0,0,1,0,0,0,1,0,1,0,0
2022-09-18,2022-2023,La Liga,Villarreal,Sevilla,Home,1,1,D,Álex Baena,N,N/A,60,1,0,3,3,1,0,2,1,0,0,0
2022-10-01,2022-2023,La Liga,Villarreal,Cádiz,Away,0,0,D,Álex Baena,Y,FW,90,0,0,1,1,1,0,4,0,0,0,1
2022-10-09,2022-2023,La Liga,Villarreal,Real Sociedad,Away,0,1,L,Álex Baena,N,N/A,27,0,0,1,0,0,0,2,1,0,0,0
2022-10-17,2022-2023,La Liga,Villarreal,Osasuna,Home,2,0,W,Álex Baena,Y,LM,90,0,0,2,1,0,0,4,4,2,0,1
2022-10-20,2022-2023,La Liga,Villarreal,Barcelona,Away,0,3,L,Álex Baena,Y,LM,90,0,0,2,0,0,0,4,1,1,0,0
2022-10-23,2022-2023,La Liga,Villarreal,Almería,Home,2,1,W,Álex Baena,Y,AM,55,1,0,4,2,2,1,0,2,2,1,0
2022-11-06,2022-2023,La Liga,Villarreal,Mallorca,Home,0,2,L,Álex Baena,Y,AM,63,0,0,0,0,1,0,2,2,0,0,0
2022-11-09,2022-2023,La Liga,Villarreal,Espanyol,Away,1,0,W,Álex Baena,N,N/A,21,0,0,0,0,0,0,0,2,1,2,0
