Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2024-08-16,2024-2025,La Liga,Las Palmas,Sevilla,Home,2,2,D,Álex Muñoz,Y,LB,68,0,0,1,0,0,0,3,0,6,5,2
2024-08-25,2024-2025,La Liga,Las Palmas,Leganés,Away,1,2,L,Álex Muñoz,Y,LB,77,0,0,0,0,0,0,2,0,3,0,2
2024-09-15,2024-2025,La Liga,Las Palmas,Athletic Club,Home,2,3,L,Álex Muñoz,N,,45,1,0,1,1,0,0,1,0,1,1,0
2024-09-21,2024-2025,La Liga,Las Palmas,Osasuna,Away,1,2,L,Álex Muñoz,Y,LB,90,0,0,1,1,0,0,1,1,0,1,0
2024-09-26,2024-2025,La Liga,Las Palmas,Real Betis,Home,1,1,D,Álex Muñoz,Y,CB,90,0,0,0,0,0,0,0,0,0,3,1
2024-09-30,2024-2025,La Liga,Las Palmas,Villarreal,Away,1,3,L,Álex Muñoz,Y,CB,90,0,0,0,0,0,0,2,0,0,3,0
2024-10-05,2024-2025,La Liga,Las Palmas,Celta Vigo,Home,0,1,L,Álex Muñoz,Y,LB,57,0,0,0,0,0,0,1,0,0,1,1
2024-10-21,2024-2025,La Liga,Las Palmas,Valencia,Away,3,2,W,Álex Muñoz,Y,LB,73,1,0,2,2,0,0,1,0,1,0,0
2024-10-26,2024-2025,La Liga,Las Palmas,Girona,Home,1,0,W,Álex Muñoz,Y,LB,90,1,0,2,1,0,0,3,0,4,1,2
2024-11-03,2024-2025,La Liga,Las Palmas,Atlético Madrid,Away,0,2,L,Álex Muñoz,Y,LB,90,0,0,0,0,0,0,2,0,0,2,3
2024-11-08,2024-2025,La Liga,Las Palmas,Rayo Vallecano,Away,3,1,W,Álex Muñoz,Y,LB,90,0,0,0,0,1,0,2,0,0,4,2
2024-11-23,2024-2025,La Liga,Las Palmas,Mallorca,Home,2,3,L,Álex Muñoz,Y,LB,60,0,0,0,0,0,0,0,0,2,0,0
2024-12-22,2024-2025,La Liga,Las Palmas,Espanyol,Home,1,0,W,Álex Muñoz,N,,6,0,0,0,0,0,0,1,0,0,0,0
2025-01-19,2024-2025,La Liga,Las Palmas,Real Madrid,Away,1,4,L,Álex Muñoz,Y,LB,57,0,0,0,0,0,0,0,0,1,0,0
2025-02-22,2024-2025,La Liga,Las Palmas,Barcelona,Home,0,2,L,Álex Muñoz,Y,LB,90,0,0,0,0,0,0,3,1,0,1,1
2025-02-28,2024-2025,La Liga,Las Palmas,Valladolid,Away,1,1,D,Álex Muñoz,Y,LB,90,0,0,0,0,0,0,2,0,2,1,0
2025-03-09,2024-2025,La Liga,Las Palmas,Real Betis,Away,0,1,L,Álex Muñoz,Y,LB,90,0,0,1,0,1,0,2,0,3,5,2
2025-03-14,2024-2025,La Liga,Las Palmas,Alavés,Home,2,2,D,Álex Muñoz,Y,LB,45,0,0,0,0,1,0,1,0,1,0,0
2025-04-12,2024-2025,La Liga,Las Palmas,Getafe,Away,3,1,W,Álex Muñoz,N,,4,0,0,0,0,0,0,0,0,0,0,0
2025-05-03,2024-2025,La Liga,Las Palmas,Valencia,Home,2,3,L,Álex Muñoz,Y,LB,68,0,0,1,0,0,0,2,0,1,0,0
2025-05-18,2024-2025,La Liga,Las Palmas,Leganés,Away,0,1,L,Álex Muñoz,Y,LB,45,0,0,0,0,0,0,1,0,2,0,0
