Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2016-09-25,2016-2017,La Liga,Osasuna,Villarreal,Away,1,3,L 1-3,Álvaro Fernández,N,N/A,45,0,0,0,0,0,0,0,0,0,0,0
2020-12-06,2020-2021,La Liga,Huesca,Granada,Away,3,3,D,Álvaro Fernández,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2020-12-12,2020-2021,La Liga,Huesca,Alavés,Home,1,0,W,Álvaro Fernández,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2020-12-18,2020-2021,La Liga,Huesca,Athletic Club,Away,0,2,L,Álvaro Fernández,Y,GK,90,0,0,0,0,0,0,0,0,0,0,1
2020-12-22,2020-2021,La Liga,Huesca,Levante,Home,1,1,D,Álvaro Fernández,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2020-12-30,2020-2021,La Liga,Huesca,Celta Vigo,Away,1,2,L,Álvaro Fernández,Y,GK,90,0,0,0,0,0,0,0,0,0,1,1
2021-01-03,2020-2021,La Liga,Huesca,Barcelona,Home,0,1,L,Álvaro Fernández,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2021-01-11,2020-2021,La Liga,Huesca,Real Betis,Home,0,2,L,Álvaro Fernández,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2021-01-20,2020-2021,La Liga,Huesca,Getafe,Away,0,1,L,Álvaro Fernández,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2021-01-23,2020-2021,La Liga,Huesca,Villarreal,Home,0,0,D,Álvaro Fernández,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2021-01-29,2020-2021,La Liga,Huesca,Valladolid,Away,3,1,W,Álvaro Fernández,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2021-02-06,2020-2021,La Liga,Huesca,Real Madrid,Home,1,2,L,Álvaro Fernández,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2021-02-13,2020-2021,La Liga,Huesca,Sevilla,Away,0,1,L,Álvaro Fernández,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2021-02-21,2020-2021,La Liga,Huesca,Granada,Home,3,2,W,Álvaro Fernández,Y,GK,90,0,0,0,0,0,0,0,0,0,0,1
2021-02-27,2020-2021,La Liga,Huesca,Eibar,Away,1,1,D,Álvaro Fernández,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2021-03-07,2020-2021,La Liga,Huesca,Celta Vigo,Home,3,4,L,Álvaro Fernández,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2021-03-15,2020-2021,La Liga,Huesca,Barcelona,Away,1,4,L,Álvaro Fernández,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2021-04-22,2020-2021,La Liga,Huesca,Atlético Madrid,Away,0,2,L,Álvaro Fernández,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
