Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2013-08-18,2013-2014,La Liga,Granada,Osasuna,Away,2,1,W,Álvaro García,N,,14,0,0,,,0,0,,,,,
2013-08-31,2013-2014,La Liga,Granada,Celta Vigo,Away,1,1,D,Álvaro García,N,,20,0,0,,,0,0,,,,,
2013-09-22,2013-2014,La Liga,Granada,Real Betis,Away,0,0,D,Álvaro García,Y,,65,0,0,,,0,0,,,,,
2013-09-25,2013-2014,La Liga,Granada,Valencia,Home,0,1,L,Álvaro García,N,,6,0,0,,,0,0,,,,,
2018-08-25,2018-2019,La Liga,Rayo Vallecano,Atlético Madrid,Away,0,1,L,Álvaro García,Y,LW,76,0,0,2,0,1,0,1,0,2,0,2
2018-09-14,2018-2019,La Liga,Rayo Vallecano,Huesca,Away,1,0,W,Álvaro García,Y,AM,69,0,0,1,0,0,0,0,0,1,0,1
2018-09-22,2018-2019,La Liga,Rayo Vallecano,Alavés,Home,1,5,L,Álvaro García,Y,LW,56,0,0,2,1,0,0,0,1,6,1,0
2018-09-28,2018-2019,La Liga,Rayo Vallecano,Espanyol,Home,2,2,D,Álvaro García,N,,13,0,0,0,0,1,0,1,0,2,1,0
2018-10-06,2018-2019,La Liga,Rayo Vallecano,Leganés,Away,0,1,L,Álvaro García,N,,42,0,0,0,0,0,0,0,0,4,0,0
2018-10-21,2018-2019,La Liga,Rayo Vallecano,Getafe,Home,1,2,L,Álvaro García,Y,LW,64,0,0,0,0,0,0,1,1,2,3,1
2018-10-24,2018-2019,La Liga,Rayo Vallecano,Athletic Club,Home,1,1,D,Álvaro García,N,,30,0,0,0,0,0,0,0,0,2,0,1
2018-10-27,2018-2019,La Liga,Rayo Vallecano,Girona,Away,1,2,L,Álvaro García,N,,25,0,0,0,0,0,0,0,0,1,0,0
2018-11-03,2018-2019,La Liga,Rayo Vallecano,Barcelona,Home,2,3,L,Álvaro García,N,,34,1,0,1,1,0,0,0,0,3,0,0
2018-11-11,2018-2019,La Liga,Rayo Vallecano,Villarreal,Home,2,2,D,Álvaro García,N,,28,1,0,2,1,0,0,0,0,4,1,0
2018-11-24,2018-2019,La Liga,Rayo Vallecano,Valencia,Away,0,3,L,Álvaro García,N,,38,0,0,2,1,0,0,0,0,1,0,1
2018-11-30,2018-2019,La Liga,Rayo Vallecano,Eibar,Home,1,0,W,Álvaro García,Y,LW,90,0,0,0,0,0,0,1,0,2,1,2
2018-12-09,2018-2019,La Liga,Rayo Vallecano,Real Betis,Away,0,2,L,Álvaro García,Y,FW,90,0,0,2,1,0,0,0,0,2,0,0
2018-12-15,2018-2019,La Liga,Rayo Vallecano,Real Madrid,Away,0,1,L,Álvaro García,Y,LW,90,0,0,0,0,0,0,1,0,0,1,1
2018-12-23,2018-2019,La Liga,Rayo Vallecano,Levante,Home,2,1,W,Álvaro García,Y,FW,42,0,0,1,1,0,0,0,0,2,1,1
2019-01-05,2018-2019,La Liga,Rayo Vallecano,Valladolid,Away,1,0,W,Álvaro García,N,,6,0,0,0,0,0,0,0,0,0,0,0
2019-01-11,2018-2019,La Liga,Rayo Vallecano,Celta Vigo,Home,4,2,W,Álvaro García,N,,30,0,0,0,0,0,0,0,0,1,0,0
2019-01-28,2018-2019,La Liga,Rayo Vallecano,Alavés,Away,1,0,W,Álvaro García,N,,25,0,0,1,0,0,0,0,0,1,0,0
2019-02-04,2018-2019,La Liga,Rayo Vallecano,Leganés,Home,1,2,L,Álvaro García,N,,19,1,0,1,1,0,0,0,0,2,0,0
2019-02-09,2018-2019,La Liga,Rayo Vallecano,Espanyol,Away,1,2,L,Álvaro García,Y,AM,72,0,0,1,0,0,0,0,0,4,0,1
2019-02-16,2018-2019,La Liga,Rayo Vallecano,Atlético Madrid,Home,0,1,L,Álvaro García,N,,15,0,0,0,0,0,0,0,0,2,0,1
2019-02-23,2018-2019,La Liga,Rayo Vallecano,Getafe,Away,1,2,L,Álvaro García,N,,36,0,0,0,0,0,0,1,0,2,1,0
2019-03-01,2018-2019,La Liga,Rayo Vallecano,Girona,Home,0,2,L,Álvaro García,Y,AM,90,0,0,0,0,0,0,1,1,3,0,1
2019-03-09,2018-2019,La Liga,Rayo Vallecano,Barcelona,Away,1,3,L,Álvaro García,Y,LM,79,0,1,0,0,0,0,0,0,2,2,2
2019-03-17,2018-2019,La Liga,Rayo Vallecano,Villarreal,Away,1,3,L,Álvaro García,Y,FW,90,0,0,0,0,0,0,0,0,2,0,2
2019-03-31,2018-2019,La Liga,Rayo Vallecano,Real Betis,Home,1,1,D,Álvaro García,Y,FW,90,0,0,4,1,0,0,2,0,3,2,0
2019-04-03,2018-2019,La Liga,Rayo Vallecano,Eibar,Away,1,2,L,Álvaro García,Y,AM,81,0,0,0,0,0,0,1,0,4,2,0
2019-04-06,2018-2019,La Liga,Rayo Vallecano,Valencia,Home,2,0,W,Álvaro García,N,,25,0,0,1,1,0,0,1,0,0,0,0
2019-04-14,2018-2019,La Liga,Rayo Vallecano,Athletic Club,Away,2,3,L,Álvaro García,N,,18,0,0,0,0,0,0,0,0,1,0,1
2019-04-20,2018-2019,La Liga,Rayo Vallecano,Huesca,Home,0,0,D,Álvaro García,N,,25,0,0,0,0,0,0,0,0,1,0,0
2019-04-25,2018-2019,La Liga,Rayo Vallecano,Sevilla,Away,0,5,L,Álvaro García,Y,AM,69,0,0,2,0,0,0,1,0,3,0,1
2019-04-28,2018-2019,La Liga,Rayo Vallecano,Real Madrid,Home,1,0,W,Álvaro García,N,,13,0,0,0,0,0,0,2,0,0,1,0
2019-05-04,2018-2019,La Liga,Rayo Vallecano,Levante,Away,1,4,L,Álvaro García,N,,27,1,0,1,1,0,0,0,0,1,0,0
2019-05-12,2018-2019,La Liga,Rayo Vallecano,Valladolid,Home,1,2,L,Álvaro García,Y,AM,90,0,1,2,0,0,0,0,1,6,1,0
2019-05-18,2018-2019,La Liga,Rayo Vallecano,Celta Vigo,Away,2,2,D,Álvaro García,Y,AM,79,0,0,1,0,1,0,1,1,5,1,0
2021-08-15,2021-2022,La Liga,Rayo Vallecano,Sevilla,Away,0,3,L,Álvaro García,Y,AM,90,0,0,1,1,0,0,1,1,0,1,3
2021-08-22,2021-2022,La Liga,Rayo Vallecano,Real Sociedad,Away,0,1,L,Álvaro García,Y,AM,73,0,0,0,0,0,0,0,0,2,1,1
2021-08-29,2021-2022,La Liga,Rayo Vallecano,Granada,Home,4,0,W,Álvaro García,Y,AM,82,1,0,4,1,0,0,1,1,8,0,0
2021-09-11,2021-2022,La Liga,Rayo Vallecano,Levante,Away,1,1,D,Álvaro García,Y,AM,90,0,0,4,1,1,0,2,0,3,1,1
2021-09-18,2021-2022,La Liga,Rayo Vallecano,Getafe,Home,3,0,W,Álvaro García,N,,37,0,0,0,0,0,0,0,0,2,0,1
2021-09-21,2021-2022,La Liga,Rayo Vallecano,Athletic Club,Away,2,1,W,Álvaro García,Y,AM,78,1,0,3,2,0,0,1,0,2,0,1
2021-09-26,2021-2022,La Liga,Rayo Vallecano,Cádiz,Home,3,1,W,Álvaro García,Y,AM,90,1,0,2,1,0,0,1,0,5,1,3
2021-10-02,2021-2022,La Liga,Rayo Vallecano,Osasuna,Away,0,1,L,Álvaro García,Y,LM,90,0,0,0,0,0,0,0,0,5,0,1
2021-10-17,2021-2022,La Liga,Rayo Vallecano,Elche,Home,2,1,W,Álvaro García,Y,DM,90,0,0,1,0,1,0,2,2,10,1,0
2021-10-24,2021-2022,La Liga,Rayo Vallecano,Real Betis,Away,2,3,L,Álvaro García,Y,AM,90,1,0,3,1,1,0,2,0,5,0,2
2021-10-27,2021-2022,La Liga,Rayo Vallecano,Barcelona,Home,1,0,W,Álvaro García,Y,AM,90,0,0,2,0,0,0,0,1,5,0,1
2021-11-01,2021-2022,La Liga,Rayo Vallecano,Celta Vigo,Home,0,0,D,Álvaro García,Y,AM,86,0,0,2,0,0,0,0,0,3,0,1
2021-11-06,2021-2022,La Liga,Rayo Vallecano,Real Madrid,Away,1,2,L,Álvaro García,Y,AM,90,0,1,4,1,0,0,0,0,7,1,1
2021-11-22,2021-2022,La Liga,Rayo Vallecano,Mallorca,Home,3,1,W,Álvaro García,Y,AM,84,1,0,2,1,0,0,0,1,1,3,0
2021-11-27,2021-2022,La Liga,Rayo Vallecano,Valencia,Away,1,1,D,Álvaro García,Y,AM,90,0,0,1,1,0,0,0,0,9,0,1
2021-12-05,2021-2022,La Liga,Rayo Vallecano,Espanyol,Home,1,0,W,Álvaro García,Y,AM,87,0,0,1,0,0,0,0,0,5,2,1
2021-12-12,2021-2022,La Liga,Rayo Vallecano,Villarreal,Away,0,2,L,Álvaro García,Y,AM,90,0,0,6,3,0,0,0,1,7,0,2
2021-12-18,2021-2022,La Liga,Rayo Vallecano,Alavés,Home,2,0,W,Álvaro García,Y,AM,42,0,1,2,0,0,0,0,0,2,1,0
2022-01-09,2021-2022,La Liga,Rayo Vallecano,Real Betis,Home,1,1,D,Álvaro García,N,,24,0,0,2,2,0,0,1,0,2,0,1
2022-01-23,2021-2022,La Liga,Rayo Vallecano,Athletic Club,Home,0,1,L,Álvaro García,Y,AM,90,0,0,2,1,0,0,1,2,15,1,0
2022-02-05,2021-2022,La Liga,Rayo Vallecano,Celta Vigo,Away,0,2,L,Álvaro García,Y,AM,90,0,0,2,0,0,0,0,0,5,1,2
2022-02-12,2021-2022,La Liga,Rayo Vallecano,Osasuna,Home,0,3,L,Álvaro García,Y,AM,90,0,0,3,0,1,0,0,1,12,0,0
