Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2015-12-02,2015-2016,Copa del Rey,Real Madrid,Cádiz,Away,3,1,Win,Álvaro Tejero,N,N/A,2,0,0,0,0,0,0,0,0,0,0,0
2016-04-26,2016-2017,La Liga,Real Madrid,Deportivo La Coruña,Away,6,2,Win,Álvaro Tejero,N,N/A,3,0,0,0,0,0,0,0,0,0,0,0
2019-08-17,2019-2020,La Liga,Eibar,Mallorca,Away,1,2,Loss,Álvaro Tejero,Y,LB,90,0,0,0,0,1,0,1,0,2,2,2
2019-08-24,2019-2020,La Liga,Eibar,Osasuna,Away,0,0,Draw,Álvaro Tejero,Y,RB,90,0,0,0,0,0,0,1,0,5,4,2
2019-09-01,2019-2020,La Liga,Eibar,Atlético Madrid,Away,2,3,Loss,Álvaro Tejero,Y,RB,90,0,0,0,0,0,0,0,0,4,1,1
2019-09-15,2019-2020,La Liga,Eibar,Espanyol,Home,1,2,Loss,Álvaro Tejero,Y,RB,90,0,0,1,0,0,0,2,0,11,1,3
2019-09-21,2019-2020,La Liga,Eibar,Levante,Away,0,0,Draw,Álvaro Tejero,Y,RB,90,0,0,0,0,0,0,0,0,3,4,1
2019-09-29,2019-2020,La Liga,Eibar,Celta Vigo,Home,2,0,Win,Álvaro Tejero,N,N/A,45,0,0,0,0,0,0,1,0,0,0,1
2019-10-04,2019-2020,La Liga,Eibar,Real Betis,Away,1,1,Draw,Álvaro Tejero,N,N/A,45,0,0,0,0,1,0,1,1,1,0,2
2019-10-26,2019-2020,La Liga,Eibar,Valladolid,Away,0,2,Loss,Álvaro Tejero,Y,RB,45,0,0,0,0,0,0,1,0,3,0,1
2019-12-14,2019-2020,La Liga,Eibar,Athletic Club,Away,0,0,Draw,Álvaro Tejero,Y,LB,90,0,0,0,0,1,0,2,0,4,1,0
2019-12-20,2019-2020,La Liga,Eibar,Granada,Home,3,0,Win,Álvaro Tejero,Y,RB,90,0,0,1,0,0,0,1,0,7,0,0
2020-01-04,2019-2020,La Liga,Eibar,Valencia,Away,0,1,Loss,Álvaro Tejero,Y,RB,90,0,0,0,0,0,0,1,0,13,0,0
2020-01-18,2019-2020,La Liga,Eibar,Atlético Madrid,Home,2,0,Win,Álvaro Tejero,Y,RB,90,0,0,0,0,0,0,1,0,3,2,2
2020-01-26,2019-2020,La Liga,Eibar,Celta Vigo,Away,0,0,Draw,Álvaro Tejero,Y,RB,90,0,0,2,1,0,0,1,0,2,1,4
2020-02-02,2019-2020,La Liga,Eibar,Real Betis,Home,1,1,Draw,Álvaro Tejero,Y,RB,67,0,0,0,0,0,0,0,0,1,0,2
