Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2020-11-29,2020-2021,La Liga,Barcelona,Osasuna,Home,4,0,W,Óscar Mingueza,Y,CB,90,0,0,0,0,0,0,3,0,0,1,1
2020-12-05,2020-2021,La Liga,Barcelona,Cádiz,Away,1,2,L,Óscar Mingueza,Y,CB,45,0,0,0,0,0,0,1,0,0,0,0
2020-12-16,2020-2021,La Liga,Barcelona,Real Sociedad,Home,2,1,W,Óscar Mingueza,Y,CB,78,0,0,0,0,0,0,1,1,0,2,0
2020-12-19,2020-2021,La Liga,Barcelona,Valencia,Home,2,2,D,Óscar Mingueza,Y,CB,90,0,0,2,1,1,0,1,0,0,2,0
2020-12-22,2020-2021,La Liga,Barcelona,Valladolid,Away,3,0,W,Óscar Mingueza,Y,CB,90,0,0,0,0,0,0,1,0,0,1,7
2020-12-29,2020-2021,La Liga,Barcelona,Eibar,Home,1,1,D,Óscar Mingueza,Y,CB,90,0,0,2,0,0,0,0,0,1,4,0
2021-01-03,2020-2021,La Liga,Barcelona,Huesca,Away,1,0,W,Óscar Mingueza,N,CB,16,0,0,0,0,0,0,0,0,1,0,0
2021-01-06,2020-2021,La Liga,Barcelona,Athletic Club,Away,3,2,W,Óscar Mingueza,N,CB,16,0,0,0,0,0,0,0,0,0,0,0
2021-01-09,2020-2021,La Liga,Barcelona,Granada,Away,4,0,W,Óscar Mingueza,Y,CB,90,0,0,0,0,1,0,1,1,0,0,0
2021-01-24,2020-2021,La Liga,Barcelona,Elche,Away,2,0,W,Óscar Mingueza,Y,RB,90,0,0,0,0,0,0,1,2,0,4,4
2021-01-31,2020-2021,La Liga,Barcelona,Athletic Club,Home,2,1,W,Óscar Mingueza,Y,RB,90,0,1,0,0,0,0,2,1,0,1,1
