Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2018-09-16,2018-2019,La Liga,Leganés,Villarreal,Home,0,1,L,Óscar Rodríguez Arnaiz,N,,18,0,0,3,1,0,0,0,0,1,0,0
2018-09-22,2018-2019,La Liga,Leganés,Eibar,Away,0,1,L,Óscar Rodríguez Arnaiz,N,,15,0,0,0,0,0,0,1,0,1,0,0
2018-09-26,2018-2019,La Liga,Leganés,Barcelona,Home,2,1,W,Óscar Rodríguez Arnaiz,Y,LM,73,1,0,3,2,0,0,2,0,4,1,0
2018-09-30,2018-2019,La Liga,Leganés,Real Betis,Away,0,1,L,Óscar Rodríguez Arnaiz,Y,LM,54,0,0,1,0,0,0,0,0,2,1,0
2018-10-06,2018-2019,La Liga,Leganés,Rayo Vallecano,Home,1,0,W,Óscar Rodríguez Arnaiz,Y,DM,90,0,0,4,1,1,0,1,0,7,1,2
2018-10-20,2018-2019,La Liga,Leganés,Valencia,Away,1,1,D,Óscar Rodríguez Arnaiz,Y,LW,90,0,0,2,2,1,0,2,0,2,1,1
2018-10-27,2018-2019,La Liga,Leganés,Levante,Away,0,2,L,Óscar Rodríguez Arnaiz,Y,CM,90,0,0,3,1,0,0,2,0,2,0,1
2018-11-03,2018-2019,La Liga,Leganés,Atlético Madrid,Home,1,1,D,Óscar Rodríguez Arnaiz,Y,AM,90,0,0,2,0,0,0,1,0,5,1,0
2018-11-10,2018-2019,La Liga,Leganés,Girona,Away,0,0,D,Óscar Rodríguez Arnaiz,Y,AM,90,0,0,1,1,1,0,1,1,3,0,3
2018-11-23,2018-2019,La Liga,Leganés,Alavés,Home,1,0,W,Óscar Rodríguez Arnaiz,Y,CM,83,0,0,1,1,1,0,3,0,4,1,0
2018-12-01,2018-2019,La Liga,Leganés,Valladolid,Away,4,2,W,Óscar Rodríguez Arnaiz,Y,CM,87,1,1,6,1,0,0,0,0,6,0,1
2018-12-07,2018-2019,La Liga,Leganés,Getafe,Home,1,1,D,Óscar Rodríguez Arnaiz,Y,AM,84,0,0,3,0,0,0,0,0,9,0,1
2018-12-14,2018-2019,La Liga,Leganés,Celta Vigo,Away,0,0,D,Óscar Rodríguez Arnaiz,Y,CM,85,0,0,1,0,0,0,2,1,1,1,1
2018-12-23,2018-2019,La Liga,Leganés,Sevilla,Home,1,1,D,Óscar Rodríguez Arnaiz,Y,CM,90,0,0,0,0,0,0,0,0,5,0,1
2019-01-04,2018-2019,La Liga,Leganés,Espanyol,Away,0,1,L,Óscar Rodríguez Arnaiz,Y,CM,90,0,0,2,1,0,0,1,0,2,0,0
