Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2015-08-23,2015-2016,Bundesliga,Ingolstadt,Dortmund,Home,0,4,L,Ørjan Nyland,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2015-12-19,2015-2016,Bundesliga,Ingolstadt,Leverkusen,Home,0,1,L,Ørjan Nyland,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2016-02-27,2015-2016,Bundesliga,Ingolstadt,Hamburger SV,Away,1,1,D,Ørjan Nyland,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2016-04-23,2015-2016,Bundesliga,Ingolstadt,Hannover 96,Home,2,2,D,Ørjan Nyland,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2016-04-30,2015-2016,Bundesliga,Ingolstadt,Hoffenheim,Away,1,2,L,Ørjan Nyland,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2016-05-14,2015-2016,Bundesliga,Ingolstadt,Leverkusen,Away,2,3,L,Ørjan Nyland,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2016-08-27,2016-2017,Bundesliga,Ingolstadt,Hamburger SV,Away,1,1,D,Ørjan Nyland,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2016-09-10,2016-2017,Bundesliga,Ingolstadt,Hertha BSC,Home,0,2,L,Ørjan Nyland,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2016-09-17,2016-2017,Bundesliga,Ingolstadt,Bayern Munich,Away,1,3,L,Ørjan Nyland,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2016-09-20,2016-2017,Bundesliga,Ingolstadt,Frankfurt,Home,0,2,L,Ørjan Nyland,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2016-09-24,2016-2017,Bundesliga,Ingolstadt,Gladbach,Away,0,2,L,Ørjan Nyland,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2016-10-01,2016-2017,Bundesliga,Ingolstadt,Hoffenheim,Home,1,2,L,Ørjan Nyland,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2016-10-15,2016-2017,Bundesliga,Ingolstadt,Köln,Away,1,2,L,Ørjan Nyland,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2016-10-22,2016-2017,Bundesliga,Ingolstadt,Dortmund,Home,3,3,D,Ørjan Nyland,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2016-10-29,2016-2017,Bundesliga,Ingolstadt,Mainz 05,Away,0,2,L,Ørjan Nyland,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2016-12-10,2016-2017,Bundesliga,Ingolstadt,RB Leipzig,Home,1,0,W,Ørjan Nyland,N,,33,0,0,0,0,0,0,0,0,0,1,0
2017-04-15,2016-2017,Bundesliga,Ingolstadt,Wolfsburg,Away,0,3,L,Ørjan Nyland,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2017-05-20,2016-2017,Bundesliga,Ingolstadt,Schalke 04,Home,1,1,D,Ørjan Nyland,Y,GK,90,0,0,0,0,0,0,0,0,0,1,0
2019-11-10,2019-2020,Premier League,Aston Villa,Wolves,Away,1,2,L,Ørjan Nyland,N,GK,83,0,0,0,0,0,0,0,0,0,0,0
2020-01-01,2019-2020,Premier League,Aston Villa,Burnley,Away,2,1,W,Ørjan Nyland,N,GK,6,0,0,0,0,0,0,0,0,0,0,0
2020-01-12,2019-2020,Premier League,Aston Villa,Manchester City,Home,1,6,L,Ørjan Nyland,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2020-06-17,2019-2020,Premier League,Aston Villa,Sheffield United,Home,0,0,D,Ørjan Nyland,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2020-06-21,2019-2020,Premier League,Aston Villa,Chelsea,Home,1,2,L,Ørjan Nyland,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2020-06-24,2019-2020,Premier League,Aston Villa,Newcastle,Away,1,1,D,Ørjan Nyland,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2020-06-27,2019-2020,Premier League,Aston Villa,Wolves,Home,0,1,L,Ørjan Nyland,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2022-10-29,2022-2023,Bundesliga,RB Leipzig,Leverkusen,Home,2,0,W,Ørjan Nyland,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2023-05-27,2022-2023,Bundesliga,RB Leipzig,Schalke 04,Home,4,2,W,Ørjan Nyland,Y,GK,90,0,1,0,0,0,0,0,0,0,0,0
2023-09-23,2023-2024,La Liga,Sevilla,Osasuna,Away,0,0,D,Ørjan Nyland,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2023-09-26,2023-2024,La Liga,Sevilla,Almería,Home,5,1,W,Ørjan Nyland,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2023-09-29,2023-2024,La Liga,Sevilla,Barcelona,Away,0,1,L,Ørjan Nyland,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2023-10-07,2023-2024,La Liga,Sevilla,Rayo Vallecano,Home,2,2,D,Ørjan Nyland,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2023-10-21,2023-2024,La Liga,Sevilla,Real Madrid,Home,1,1,D,Ørjan Nyland,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2023-10-28,2023-2024,La Liga,Sevilla,Cádiz,Away,2,2,D,Ørjan Nyland,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2023-11-04,2023-2024,La Liga,Sevilla,Celta Vigo,Away,1,1,D,Ørjan Nyland,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2024-01-28,2023-2024,La Liga,Sevilla,Osasuna,Home,1,1,D,Ørjan Nyland,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2024-02-05,2023-2024,La Liga,Sevilla,Rayo Vallecano,Away,2,1,W,Ørjan Nyland,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2024-02-11,2023-2024,La Liga,Sevilla,Atlético Madrid,Home,1,0,W,Ørjan Nyland,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2024-02-17,2023-2024,La Liga,Sevilla,Valencia,Away,0,0,D,Ørjan Nyland,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2024-02-25,2023-2024,La Liga,Sevilla,Real Madrid,Away,0,1,L,Ørjan Nyland,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2024-03-02,2023-2024,La Liga,Sevilla,Real Sociedad,Home,3,2,W,Ørjan Nyland,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2024-03-11,2023-2024,La Liga,Sevilla,Almería,Away,2,2,D,Ørjan Nyland,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2024-03-17,2023-2024,La Liga,Sevilla,Celta Vigo,Home,1,2,L,Ørjan Nyland,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2024-03-30,2023-2024,La Liga,Sevilla,Getafe,Away,1,0,W,Ørjan Nyland,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2024-04-14,2023-2024,La Liga,Sevilla,Las Palmas,Away,2,0,W,Ørjan Nyland,Y,GK,90,0,0,0,0,1,0,0,0,0,0,0
2024-04-22,2023-2024,La Liga,Sevilla,Mallorca,Home,2,1,W,Ørjan Nyland,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2024-04-28,2023-2024,La Liga,Sevilla,Real Betis,Away,1,1,D,Ørjan Nyland,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2024-05-05,2023-2024,La Liga,Sevilla,Granada,Home,3,0,W,Ørjan Nyland,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2024-05-11,2023-2024,La Liga,Sevilla,Villarreal,Away,2,3,L,Ørjan Nyland,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
